"player_id","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","total_points","in_dreamteam","gameweek"
"500","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"501","90","0","0","0","2","0","0","0","0","0","0","0","12","10.0","19.8","19.0","4.9","1","0.04","0.36","0.40","2.02","2","FALSE",1
"502","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"503","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"504","90","0","2","0","2","0","0","0","1","0","0","2","31","49.2","82.9","21.0","15.3","1","0.07","0.94","1.01","2.02","9","FALSE",1
"505","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"506","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"507","15","0","0","0","0","0","0","0","0","0","0","0","8","8.4","16.3","0.0","2.5","0","0.00","0.16","0.16","0.30","1","FALSE",1
"508","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"509","90","0","0","0","2","0","0","0","0","0","0","0","3","8.4","13.5","32.0","5.4","1","0.21","0.01","0.22","2.02","2","FALSE",1
"510","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"511","13","1","0","0","0","0","0","0","0","0","0","0","15","34.0","0.3","33.0","6.7","1","0.51","0.01","0.52","0.00","7","FALSE",1
"512","76","0","0","0","2","0","0","0","1","0","0","0","9","17.0","5.0","4.0","2.6","0","0.12","0.03","0.15","2.02","0","FALSE",1
"513","15","0","0","0","0","0","0","0","0","0","0","0","4","10.8","1.9","17.0","3.0","0","0.12","0.01","0.13","0.30","1","FALSE",1
"514","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"515","74","0","0","0","2","0","0","0","1","0","0","0","8","2.2","5.1","4.0","1.1","1","0.00","0.01","0.01","1.72","1","FALSE",1
"516","74","0","0","0","2","0","0","0","0","0","0","0","5","0.0","6.8","31.0","3.7","1","0.08","0.05","0.13","1.72","2","FALSE",1
"517","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"518","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"519","90","0","0","0","2","0","0","0","0","0","0","0","16","15.8","17.3","2.0","3.5","1","0.00","0.04","0.04","2.02","1","FALSE",1
"520","90","0","0","0","2","0","0","0","1","0","4","0","15","36.0","0.0","0.0","3.6","1","0.00","0.00","0.00","2.02","1","FALSE",1
"521","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"522","90","0","0","0","1","0","0","0","0","0","0","0","8","13.6","0.1","0.0","1.4","1","0.00","0.00","0.00","1.37","2","FALSE",1
"523","77","0","0","1","0","0","0","0","1","0","0","0","5","8.6","0.8","2.0","1.1","1","0.00","0.01","0.01","0.43","1","FALSE",1
"524","90","0","0","0","1","0","0","0","0","0","4","0","16","21.2","0.0","0.0","2.1","1","0.00","0.00","0.00","1.37","3","FALSE",1
"525","90","0","0","0","1","0","0","0","0","0","0","0","7","9.2","27.0","24.0","6.0","1","0.08","0.27","0.35","1.37","2","FALSE",1
"526","90","1","0","0","1","0","0","0","1","0","0","3","29","40.8","43.5","33.0","11.7","1","0.22","0.35","0.57","1.37","9","FALSE",1
"527","1","0","0","0","0","0","0","0","0","0","0","0","2","2.2","0.0","0.0","0.2","0","0.00","0.00","0.00","0.00","1","FALSE",1
"528","90","0","0","0","1","0","0","0","0","0","0","0","12","19.8","24.2","0.0","4.4","1","0.00","0.16","0.16","1.37","2","FALSE",1
"529","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"530","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"531","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"532","90","0","0","0","1","0","0","0","1","0","0","0","8","20.4","26.0","4.0","5.0","1","0.00","0.25","0.25","1.37","1","FALSE",1
"533","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"534","85","0","0","0","1","0","0","0","0","0","0","0","8","8.8","12.8","17.0","3.9","1","0.09","0.09","0.18","1.35","2","FALSE",1
"535","12","0","0","0","1","0","0","0","0","0","0","0","1","3.0","0.0","7.0","1.0","0","0.12","0.00","0.12","0.94","1","FALSE",1
"536","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"537","4","0","0","0","0","0","0","0","0","0","0","0","3","0.2","0.0","0.0","0.0","0","0.00","0.00","0.00","0.02","1","FALSE",1
"538","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"539","90","0","0","0","1","0","0","0","1","0","0","0","11","15.2","29.4","16.0","6.1","1","0.18","0.21","0.39","1.37","1","FALSE",1
"540","90","0","0","0","1","0","0","0","0","0","0","0","18","21.6","4.6","31.0","5.7","1","0.25","0.03","0.28","1.18","2","FALSE",1
"541","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"542","90","0","1","0","1","0","0","0","0","0","0","2","24","32.8","11.0","16.0","6.0","1","0.37","0.01","0.38","1.37","7","FALSE",1
"543","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"544","90","0","0","0","1","0","0","0","0","0","0","0","10","19.4","0.0","0.0","1.9","1","0.00","0.00","0.00","1.37","2","FALSE",1
