"chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","corners_and_indirect_freekicks_order","corners_and_indirect_freekicks_text","direct_freekicks_order","direct_freekicks_text","penalties_order","penalties_text","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","now_cost_rank","now_cost_rank_type","form_rank","form_rank_type","points_per_game_rank","points_per_game_rank_type","selected_rank","selected_rank_type","starts_per_90","clean_sheets_per_90"
,,153127,0,0,0,0,0,3,"1.5",,0,"Isaac","0.0",413,FALSE,"",,45,"153127.jpg","0.0","Hayden","0.1",FALSE,,"a",15,4,0,0,0,0,0,"0.0","0.0","Hayden",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",472,184,470,186,459,180,474,184,,"",,"",,"",0,0,0,0,0,0,342,193,156,8,477,187,549,207,0,0
,,83314,0,0,0,0,0,3,"1.5",,0,"Jeff","0.0",414,FALSE,"",,45,"83314.jpg","0.0","Hendrick","0.1",FALSE,,"a",15,4,0,0,0,0,0,"0.0","0.0","Hendrick",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",462,181,458,182,445,175,464,181,,"",,"",,"",0,0,0,0,0,0,312,188,126,3,468,184,545,203,0,0
,,219168,0,0,0,0,0,4,"2.9",,0,"Alexander","0.0",415,FALSE,"",,75,"219168.jpg","4.5","Isak","12.7",FALSE,,"a",15,4,100,0,0,0,0,"0.0","13.3","Isak",1520,10,2,4,20,0,0,0,3,0,0,18,353,"483.4","246.1","724.0","145.2",17,"8.11","1.37","9.48","18.67",108,9,126,12,27,11,66,11,,"",,"",2,"",0.48,0,0.08,0.56,1.11,1.18,23,9,578,68,22,8,33,6,1.01,0.24
,,180974,0,0,0,0,0,3,"2.7",,0,"Joelinton Cássio","0.0",416,FALSE,"",,60,"180974.jpg","3.6","Apolinário de Lira","1.2",FALSE,,"a",15,4,115,0,0,0,0,"0.0","19.2","Joelinton",2660,6,5,11,26,0,0,0,12,0,0,10,458,"603.4","413.1","655.0","167.3",30,"7.11","1.90","9.01","32.27",70,34,73,59,34,23,44,33,,"",,"",3,"",0.24,0,0.06,0.3,1.09,0.88,66,39,534,212,84,35,159,56,1.02,0.37
,,111773,0,0,0,0,0,2,"2.5",,0,"Emil","0.0",417,FALSE,"",,45,"111773.jpg","1.0","Krafth","0.1",FALSE,,"a",15,4,1,0,0,0,0,"0.0","0.2","Krafth",1,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.10",468,181,465,181,453,180,470,181,,"",,"",,"",0,0,0,0,9,0,331,64,145,88,363,135,485,194,0,0
,,564510,0,0,0,0,0,3,"1.5",,0,"Garang","0.0",418,FALSE,"",,45,"564510.jpg","0.0","Kuol","0.0",FALSE,,"a",15,4,0,0,0,0,0,"0.0","0.0","Kuol",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",543,220,540,220,535,219,544,220,,"",,"",,"",0,0,0,0,0,0,496,250,310,65,544,220,568,226,0,0
,,101148,0,0,0,0,0,2,"1.5",,0,"Jamaal","0.0",419,FALSE,"",,40,"101148.jpg","0.7","Lascelles","0.3",FALSE,,"a",15,4,3,0,0,0,0,"0.0","0.8","Lascelles",214,0,0,0,5,0,0,0,4,0,0,0,22,"42.6","0.9","13.0","5.4",2,"0.11","0.01","0.12","4.34",343,128,356,135,324,124,358,130,,"",,"",,"",0.05,0,0,0.05,1.83,2.1,516,148,18,5,392,138,288,99,0.84,0
,,194799,0,0,0,0,0,2,"1.5",,0,"Jamal","0.0",420,FALSE,"",,40,"194799.jpg","1.0","Lewis","0.2",FALSE,,"a",15,4,2,0,0,0,0,"0.0","0.5","J.Lewis",9,0,0,0,1,0,0,0,0,0,0,0,6,"1.0","1.0","4.0","0.6",0,"0.00","0.00","0.00","1.05",381,136,355,134,340,131,383,136,,"",,"",,"",0,0,0,0,10.5,10,543,162,45,19,356,129,394,152,0,0
,,180135,0,0,0,0,0,3,"2.1",,0,"Sean","0.0",421,FALSE,"",,50,"180135.jpg","2.8","Longstaff","0.2",FALSE,,"a",15,4,93,0,0,0,0,"0.0","18.6","Longstaff",2514,1,5,13,18,0,0,0,2,0,0,2,347,"385.2","372.0","408.0","116.8",28,"3.30","2.57","5.87","27.57",155,68,86,66,75,53,93,64,,"",,"",,"",0.12,0,0.09,0.21,0.99,0.64,211,137,381,115,166,66,365,113,1,0.47
,,109528,0,0,0,0,0,2,"1.5",,0,"Javier","0.0",422,FALSE,"",,40,"109528.jpg","1.0","Manquillo Gaitán","0.2",FALSE,,"a",15,4,4,0,0,0,0,"0.0","1.0","Manquillo",34,0,0,0,1,0,0,0,0,0,0,0,19,"12.0","5.5","2.0","2.0",0,"0.00","0.01","0.01","0.97",365,133,344,129,347,132,369,134,,"",,"",,"",0,0,0.03,0.03,2.57,2.65,524,154,26,11,355,128,382,146,0,0
,,114243,0,0,0,0,0,3,"2.1",,0,"Jacob","0.0",423,FALSE,"",,50,"114243.jpg","2.2","Murphy","0.2",FALSE,,"a",15,4,78,0,0,0,0,"0.0","15.6","Murphy",1230,4,2,3,12,0,0,0,0,0,0,2,240,"275.0","302.5","410.0","98.9",14,"3.46","2.95","6.41","16.13",208,92,106,79,73,52,119,76,,"",,"",,"",0.25,0,0.22,0.47,1.18,0.88,181,116,351,94,224,87,346,106,1.02,0.22
,,98747,0,0,0,0,0,1,"4.5",,0,"Nick","0.0",424,FALSE,"",,55,"98747.jpg","4.2","Pope","12.9",FALSE,,"a",15,4,157,0,0,0,0,"0.0","28.5","Pope",3261,0,0,14,32,0,2,0,3,1,87,14,678,"709.6","20.0","0.0","72.9",37,"0.00","0.01","0.01","39.44",41,11,320,4,583,68,176,10,,"",,"",,"",0,2.4,0,0,1.09,0.88,85,1,464,68,34,7,32,5,1.02,0.39
,,56983,0,0,0,0,0,3,"1.5",,0,"Matt","0.0",425,FALSE,"",,45,"56983.jpg","1.0","Ritchie","0.2",FALSE,,"a",15,4,7,0,0,0,0,"0.0","1.6","Ritchie",35,0,0,0,0,0,0,0,0,0,0,0,24,"8.8","17.2","2.0","2.8",0,"0.00","0.05","0.05","0.90",368,166,326,163,348,172,366,166,,"",,"",,"",0,0,0.13,0.13,2.31,0,300,187,114,2,361,160,430,133,0,0
,,170137,0,0,0,0,0,3,"2.7",,0,"Allan","0.0",426,FALSE,"",,60,"170137.jpg","2.6","Saint-Maximin","0.9",FALSE,,"a",15,4,66,0,0,0,0,"0.0","11.0","Saint-Maximin",1109,1,6,4,14,0,0,0,1,0,0,4,240,"284.8","397.4","381.0","106.5",12,"1.60","2.59","4.19","13.91",200,89,79,63,84,58,107,70,,"",,"",,"",0.13,0,0.21,0.34,1.13,1.14,63,37,531,210,191,76,185,64,0.97,0.32
