"element_in","element_in_cost","element_out","element_out_cost","entry","event","time"
321,45,528,46,2564951,21,"2024-01-12T15:13:25.447451Z"
203,42,129,50,2564951,20,"2023-12-30T07:18:44.374378Z"
33,46,246,58,2564951,19,"2023-12-26T08:23:58.771571Z"
558,53,119,58,2564951,17,"2023-12-15T12:00:20.408761Z"
43,56,392,48,2564951,17,"2023-12-15T12:00:20.401621Z"
129,50,220,48,2564951,16,"2023-12-09T10:24:14.293447Z"
392,48,365,56,2564951,14,"2023-12-02T10:04:23.137850Z"
26,65,402,62,2564951,13,"2023-11-25T09:34:09.532750Z"
365,56,106,54,2564951,13,"2023-11-25T09:34:09.523952Z"
106,54,513,46,2564951,8,"2023-10-06T14:07:38.561547Z"
402,63,26,66,2564951,8,"2023-10-06T14:07:38.561283Z"
528,45,129,50,2564951,8,"2023-10-06T14:07:38.560947Z"
246,58,82,45,2564951,7,"2023-09-30T05:53:08.884892Z"
26,66,372,68,2564951,6,"2023-09-23T07:18:52.378707Z"
220,46,103,45,2564951,6,"2023-09-23T07:18:52.370198Z"
513,46,130,52,2564951,5,"2023-09-16T07:48:56.685238Z"
82,45,246,59,2564951,3,"2023-08-25T09:56:19.558279Z"
103,45,51,44,2564951,2,"2023-08-18T09:47:59.960222Z"
355,139,85,69,2565192,22,"2024-01-30T17:20:45.133023Z"
19,91,526,77,2565192,21,"2024-01-12T17:19:48.684034Z"
353,79,516,96,2565192,21,"2024-01-12T17:19:48.675495Z"
409,42,28,39,2565192,19,"2023-12-26T10:03:18.159292Z"
405,45,311,47,2565192,19,"2023-12-26T10:02:26.543596Z"
509,67,412,61,2565192,18,"2023-12-21T18:26:49.472317Z"
85,67,355,140,2565192,17,"2023-12-15T17:31:57.329001Z"
506,54,220,49,2565192,17,"2023-12-15T17:31:57.320254Z"
412,61,504,77,2565192,16,"2023-12-09T10:06:39.839755Z"
36,48,419,40,2565192,16,"2023-12-09T10:06:39.831870Z"
362,52,122,50,2565192,13,"2023-11-25T10:15:24.992253Z"
5,48,36,50,2565192,13,"2023-11-25T10:15:24.985181Z"
122,50,403,44,2565192,11,"2023-11-04T10:03:50.939283Z"
311,46,519,48,2565192,11,"2023-11-04T10:02:20.080206Z"
60,81,343,69,2565192,8,"2023-10-07T09:47:54.100428Z"
403,44,396,88,2565192,8,"2023-10-07T09:47:54.100149Z"
308,126,373,84,2565192,8,"2023-10-07T09:47:54.099902Z"
526,73,108,66,2565192,8,"2023-10-07T09:47:54.099675Z"
516,94,19,85,2565192,8,"2023-10-07T09:47:54.099436Z"
519,49,473,39,2565192,8,"2023-10-07T09:47:54.099157Z"
419,39,427,51,2565192,8,"2023-10-07T09:47:54.098905Z"
220,48,405,46,2565192,8,"2023-10-07T09:47:54.098674Z"
36,50,131,51,2565192,8,"2023-10-07T09:47:54.098422Z"
178,39,5,47,2565192,8,"2023-10-07T09:47:54.098109Z"
524,42,597,49,2565192,8,"2023-10-07T09:47:54.097817Z"
427,51,195,55,2565192,7,"2023-09-30T09:47:41.974430Z"
343,69,211,70,2565192,6,"2023-09-23T09:04:09.578386Z"
405,46,103,46,2565192,6,"2023-09-23T09:04:09.571132Z"
504,77,12,80,2565192,4,"2023-09-01T16:35:49.870761Z"
211,71,135,55,2565192,3,"2023-08-25T16:46:30.574404Z"
103,46,368,53,2565192,3,"2023-08-25T16:46:30.564378Z"
501,72,122,50,824491,20,"2023-12-29T14:42:11.143999Z"
611,49,633,43,824491,20,"2023-12-29T14:42:11.137585Z"
168,48,437,63,824491,19,"2023-12-25T20:43:32.566869Z"
633,43,611,50,824491,15,"2023-12-04T13:47:41.123844Z"
260,44,395,50,824491,14,"2023-11-29T19:38:16.673005Z"
236,58,210,63,824491,14,"2023-11-28T17:34:45.420667Z"
122,50,421,49,824491,12,"2023-11-10T08:20:23.677820Z"
421,49,140,62,824491,11,"2023-11-02T20:53:00.798972Z"
210,63,209,68,824491,10,"2023-10-24T14:35:44.388250Z"
524,40,187,50,824491,2,"2023-08-15T19:52:31.401821Z"
369,50,346,60,824491,2,"2023-08-15T11:07:06.667565Z"
34,57,727,50,646361,22,"2024-01-30T15:44:15.906528Z"
532,45,83,44,646361,21,"2024-01-12T10:27:16.161212Z"
468,49,594,53,646361,20,"2023-12-29T12:16:42.735361Z"
131,49,419,42,646361,20,"2023-12-29T12:16:42.729019Z"
727,50,108,67,646361,19,"2023-12-24T23:31:55.799169Z"
687,45,145,45,646361,19,"2023-12-24T23:31:55.791457Z"
83,44,228,45,646361,17,"2023-12-15T11:53:35.455877Z"
77,45,597,48,646361,17,"2023-12-15T11:53:35.447275Z"
594,53,33,45,646361,15,"2023-12-05T17:58:25.632817Z"
419,42,42,46,646361,15,"2023-12-05T17:58:25.623499Z"
33,45,168,50,646361,12,"2023-11-10T15:54:27.030139Z"
377,50,544,45,646361,12,"2023-11-10T15:54:27.022304Z"
228,45,436,45,646361,9,"2023-10-20T16:09:41.256657Z"
168,50,594,54,646361,8,"2023-10-06T07:49:31.125219Z"
134,63,539,60,646361,8,"2023-10-06T07:49:31.119354Z"
283,45,197,45,646361,7,"2023-09-28T21:01:46.664296Z"
539,60,134,63,646361,7,"2023-09-28T20:46:56.715018Z"
436,45,358,44,646361,7,"2023-09-28T20:46:56.714729Z"
197,45,109,49,646361,7,"2023-09-28T20:46:56.714471Z"
544,45,195,55,646361,7,"2023-09-28T20:46:56.714153Z"
594,54,168,50,646361,6,"2023-09-22T12:37:31.180723Z"
168,50,523,61,646361,5,"2023-09-15T20:33:15.760004Z"
523,61,594,55,646361,4,"2023-09-01T08:20:29.197354Z"
42,45,398,55,646361,3,"2023-08-25T08:42:45.990144Z"
145,45,152,45,646361,2,"2023-08-18T09:50:42.048896Z"
294,77,86,54,2955410,21,"2024-01-05T10:06:56.688827Z"
382,47,501,71,2955410,20,"2023-12-29T15:05:36.862179Z"
639,44,401,44,2955410,19,"2023-12-24T18:26:53.751941Z"
41,44,206,54,2955410,18,"2023-12-18T14:48:27.460419Z"
89,44,25,45,2955410,17,"2023-12-12T00:23:08.418827Z"
86,54,382,47,2955410,17,"2023-12-11T17:42:08.461288Z"
25,45,387,42,2955410,15,"2023-12-04T13:53:27.927349Z"
409,39,17,47,2955410,15,"2023-12-04T13:52:47.801214Z"
382,47,294,77,2955410,14,"2023-11-30T10:59:37.402026Z"
387,42,407,46,2955410,12,"2023-11-07T14:52:27.019255Z"
401,44,311,45,2955410,12,"2023-11-07T14:52:27.011007Z"
50,55,365,56,2955410,10,"2023-10-26T19:36:48.343358Z"
311,44,265,44,2955410,9,"2023-10-19T08:58:39.606076Z"
265,44,112,45,2955410,7,"2023-09-26T15:28:01.961551Z"
112,45,401,45,2955410,6,"2023-09-19T17:19:51.862640Z"
678,65,344,64,2955410,5,"2023-09-04T15:45:06.673860Z"
365,57,402,64,2955410,4,"2023-08-28T18:41:04.696563Z"
664,60,26,69,2955410,3,"2023-08-22T18:06:35.436586Z"
13,55,212,74,2955410,2,"2023-08-17T10:19:02.125256Z"
