"code","event","finished","finished_provisional","id","kickoff_time","minutes","provisional_start_time","started","team_a","team_a_score","team_h","team_h_score","team_h_difficulty","team_a_difficulty","pulse_id"
2128288,1,TRUE,TRUE,2,"2020-09-12T11:30:00Z",90,FALSE,TRUE,1,3,8,0,3,2,58898
2128287,1,TRUE,TRUE,1,"2020-09-12T14:00:00Z",90,FALSE,TRUE,16,0,6,1,2,3,58897
2128289,1,TRUE,TRUE,3,"2020-09-12T16:30:00Z",90,FALSE,TRUE,10,3,11,4,3,3,58899
2128293,1,TRUE,TRUE,6,"2020-09-12T19:00:00Z",90,FALSE,TRUE,14,2,19,0,2,4,58903
2128292,1,TRUE,TRUE,5,"2020-09-13T13:00:00Z",90,FALSE,TRUE,9,3,18,0,4,2,58902
2128291,1,TRUE,TRUE,4,"2020-09-13T15:30:00Z",90,FALSE,TRUE,7,1,17,0,4,4,58901
2128295,1,TRUE,TRUE,8,"2020-09-14T17:00:00Z",90,FALSE,TRUE,20,2,15,0,2,2,58905
2128294,1,TRUE,TRUE,7,"2020-09-14T19:15:00Z",90,FALSE,TRUE,5,3,3,1,4,3,58904
2128299,2,TRUE,TRUE,12,"2020-09-19T11:30:00Z",90,FALSE,TRUE,18,2,7,5,2,3,58909
2128300,2,TRUE,TRUE,13,"2020-09-19T14:00:00Z",90,FALSE,TRUE,8,3,10,4,2,3,58910
2128302,2,TRUE,TRUE,15,"2020-09-19T16:30:00Z",90,FALSE,TRUE,6,3,13,1,2,4,58912
2128296,2,TRUE,TRUE,9,"2020-09-19T19:00:00Z",90,FALSE,TRUE,19,1,1,2,4,4,58906
2128304,2,TRUE,TRUE,17,"2020-09-20T11:00:00Z",90,FALSE,TRUE,17,5,16,2,3,2,58914
2128303,2,TRUE,TRUE,16,"2020-09-20T13:00:00Z",90,FALSE,TRUE,3,3,14,0,3,2,58913
2128298,2,TRUE,TRUE,11,"2020-09-20T15:30:00Z",90,FALSE,TRUE,11,2,5,0,4,4,58908
2128301,2,TRUE,TRUE,14,"2020-09-20T18:00:00Z",90,FALSE,TRUE,4,2,9,4,2,4,58911
2128297,2,TRUE,TRUE,10,"2020-09-21T17:00:00Z",90,FALSE,TRUE,15,0,2,1,2,3,58907
2128305,2,TRUE,TRUE,18,"2020-09-21T19:15:00Z",90,FALSE,TRUE,12,3,20,1,4,3,58915
2128306,3,TRUE,TRUE,19,"2020-09-26T11:30:00Z",90,FALSE,TRUE,13,3,3,2,4,3,58916
2128308,3,TRUE,TRUE,21,"2020-09-26T14:00:00Z",90,FALSE,TRUE,7,2,6,1,4,3,58918
2128314,3,TRUE,TRUE,27,"2020-09-26T16:30:00Z",90,FALSE,TRUE,5,3,18,3,4,2,58924
2128307,3,TRUE,TRUE,20,"2020-09-26T19:00:00Z",90,FALSE,TRUE,16,1,4,0,2,2,58917
2128312,3,TRUE,TRUE,25,"2020-09-27T11:00:00Z",90,FALSE,TRUE,10,1,15,0,3,2,58922
2128313,3,TRUE,TRUE,26,"2020-09-27T13:00:00Z",90,FALSE,TRUE,14,1,17,1,2,4,58923
2128311,3,TRUE,TRUE,24,"2020-09-27T15:30:00Z",90,FALSE,TRUE,9,5,12,2,4,5,58921
2128315,3,TRUE,TRUE,28,"2020-09-27T18:00:00Z",90,FALSE,TRUE,20,0,19,4,2,4,58925
2128309,3,TRUE,TRUE,22,"2020-09-28T16:45:00Z",90,FALSE,TRUE,2,3,8,0,2,2,58919
2128310,3,TRUE,TRUE,23,"2020-09-28T19:00:00Z",90,FALSE,TRUE,1,1,11,3,3,3,58920
2128318,4,TRUE,TRUE,31,"2020-10-03T11:30:00Z",90,FALSE,TRUE,6,0,5,4,2,4,58928
2128319,4,TRUE,TRUE,32,"2020-10-03T14:00:00Z",90,FALSE,TRUE,3,2,7,4,3,3,58929
2128320,4,TRUE,TRUE,33,"2020-10-03T16:30:00Z",90,FALSE,TRUE,12,1,10,1,4,3,58930
2128323,4,TRUE,TRUE,36,"2020-10-03T19:00:00Z",90,FALSE,TRUE,4,1,14,3,2,2,58933
2128321,4,TRUE,TRUE,34,"2020-10-04T11:00:00Z",90,FALSE,TRUE,19,3,9,0,4,4,58931
2128324,4,TRUE,TRUE,37,"2020-10-04T11:00:00Z",90,FALSE,TRUE,18,0,16,2,2,2,58934
2128316,4,TRUE,TRUE,29,"2020-10-04T13:00:00Z",90,FALSE,TRUE,15,1,1,2,2,4,58926
2128325,4,TRUE,TRUE,38,"2020-10-04T13:00:00Z",90,FALSE,TRUE,8,0,20,1,2,3,58935
2128322,4,TRUE,TRUE,35,"2020-10-04T15:30:00Z",90,FALSE,TRUE,17,6,13,1,3,4,58932
2128317,4,TRUE,TRUE,30,"2020-10-04T18:15:00Z",90,FALSE,TRUE,11,2,2,7,4,3,58927
2128328,5,TRUE,TRUE,41,"2020-10-17T11:30:00Z",90,FALSE,TRUE,11,2,7,2,4,3,58938
2128326,5,TRUE,TRUE,39,"2020-10-17T14:00:00Z",90,FALSE,TRUE,16,3,5,3,2,4,58936
2128331,5,TRUE,TRUE,44,"2020-10-17T16:30:00Z",90,FALSE,TRUE,1,0,12,1,3,5,58941
2128332,5,TRUE,TRUE,45,"2020-10-17T19:00:00Z",90,FALSE,TRUE,13,4,14,1,4,2,58942
2128333,5,TRUE,TRUE,46,"2020-10-18T11:00:00Z",90,FALSE,TRUE,8,1,15,1,2,2,58943
2128327,5,TRUE,TRUE,40,"2020-10-18T13:00:00Z",90,FALSE,TRUE,3,1,6,1,3,3,58937
2128334,5,TRUE,TRUE,47,"2020-10-18T15:30:00Z",90,FALSE,TRUE,19,3,17,3,4,4,58944
2128330,5,TRUE,TRUE,43,"2020-10-18T18:15:00Z",90,FALSE,TRUE,2,1,9,0,2,4,58940
2128335,5,TRUE,TRUE,48,"2020-10-19T16:30:00Z",90,FALSE,TRUE,4,0,18,0,2,2,58945
2128329,5,TRUE,TRUE,42,"2020-10-19T19:00:00Z",90,FALSE,TRUE,20,1,10,0,2,3,58939
2128337,6,TRUE,TRUE,50,"2020-10-23T19:00:00Z",90,FALSE,TRUE,10,3,2,0,3,3,58947
2128344,6,TRUE,TRUE,57,"2020-10-24T11:30:00Z",90,FALSE,TRUE,12,1,19,1,4,4,58954
2128340,6,TRUE,TRUE,53,"2020-10-24T14:00:00Z",90,FALSE,TRUE,6,2,8,1,2,2,58950
