"element_in","element_in_cost","element_out","element_out_cost","entry","event","time"
492,57,588,55,882240,38,"2021-05-20T13:52:17.457082Z"
287,70,231,71,882240,37,"2021-05-17T12:44:23.656625Z"
449,52,302,110,882240,36,"2021-05-14T14:50:43.219008Z"
437,64,642,68,882240,35,"2021-05-05T22:11:18.762417Z"
313,57,461,49,882240,35,"2021-05-05T22:11:18.762042Z"
128,48,516,45,882240,35,"2021-05-05T22:11:18.761570Z"
232,58,41,52,882240,34,"2021-04-30T14:57:07.813208Z"
542,56,435,53,882240,33,"2021-04-23T13:09:46.442844Z"
296,76,543,92,882240,32,"2021-04-13T18:19:51.907115Z"
648,60,118,71,882240,31,"2021-04-09T14:02:22.945295Z"
461,49,386,54,882240,31,"2021-04-09T14:02:22.937530Z"
588,55,329,59,882240,30,"2021-03-22T18:04:01.734610Z"
329,59,181,53,882240,29,"2021-03-19T16:28:12.063919Z"
386,54,92,45,882240,28,"2021-03-12T12:06:58.935013Z"
543,93,489,58,882240,27,"2021-03-06T07:21:22.786388Z"
516,45,363,45,882240,26,"2021-02-26T09:35:16.841016Z"
92,45,461,49,882240,24,"2021-02-12T16:37:25.801616Z"
489,58,543,93,882240,24,"2021-02-09T16:55:58.372828Z"
642,70,460,82,882240,23,"2021-02-05T14:21:44.275979Z"
155,60,197,45,882240,20,"2021-01-20T13:25:04.222911Z"
262,45,460,82,882240,19,"2021-01-16T08:11:07.771548Z"
437,63,181,53,882240,19,"2021-01-16T08:11:07.771221Z"
224,101,118,72,882240,19,"2021-01-16T08:11:07.770792Z"
191,45,570,54,882240,19,"2021-01-16T08:11:07.770145Z"
448,48,543,93,882240,19,"2021-01-16T08:11:07.769505Z"
272,118,231,70,882240,19,"2021-01-16T08:11:07.768928Z"
251,119,120,68,882240,19,"2021-01-16T08:11:07.768450Z"
146,39,461,50,882240,19,"2021-01-16T08:11:07.768124Z"
558,47,435,52,882240,19,"2021-01-16T08:11:07.767676Z"
273,50,155,60,882240,19,"2021-01-16T08:11:07.767045Z"
110,58,41,52,882240,19,"2021-01-16T08:11:07.766421Z"
523,40,431,50,882240,19,"2021-01-16T08:11:07.765815Z"
417,45,363,46,882240,19,"2021-01-16T08:11:07.765057Z"
155,60,197,45,882240,19,"2021-01-16T07:38:04.957495Z"
461,50,458,54,882240,17,"2020-12-31T09:54:13.567046Z"
570,54,24,51,882240,15,"2020-12-26T08:42:51.680571Z"
181,53,184,56,882240,13,"2020-12-14T18:54:06.065659Z"
197,45,457,58,882240,13,"2020-12-14T18:54:06.058246Z"
458,55,162,55,882240,12,"2020-12-11T13:03:08.171823Z"
118,72,437,62,882240,10,"2020-11-26T20:16:15.914875Z"
431,50,35,40,882240,10,"2020-11-26T20:16:15.903925Z"
277,54,351,53,882240,8,"2020-11-06T10:29:54.723518Z"
231,70,137,60,882240,7,"2020-10-30T07:48:20.487910Z"
435,50,250,64,882240,6,"2020-10-23T16:32:18.529166Z"
41,51,238,55,882240,5,"2020-10-17T07:24:59.665464Z"
137,60,365,64,882240,4,"2020-09-30T17:54:26.161585Z"
543,95,400,73,882240,3,"2020-09-22T18:14:39.719215Z"
162,55,471,45,882240,2,"2020-09-15T18:46:41.191629Z"
26,49,339,56,2445169,38,"2021-05-21T09:07:24.514322Z"
211,40,584,50,2445169,37,"2021-05-17T15:31:35.784796Z"
157,48,417,45,2445169,36,"2021-05-14T08:02:23.961450Z"
569,79,377,57,2445169,35,"2021-05-05T19:06:42.795126Z"
339,56,466,51,2445169,34,"2021-04-29T22:17:27.661160Z"
17,52,16,42,2445169,34,"2021-04-29T22:17:27.660840Z"
538,44,291,53,2445169,34,"2021-04-29T22:17:27.660481Z"
93,48,569,79,2445169,34,"2021-04-29T22:17:27.659941Z"
104,57,490,55,2445169,34,"2021-04-29T22:17:27.659467Z"
386,54,104,56,2445169,34,"2021-04-27T13:50:43.949985Z"
543,91,394,74,2445169,33,"2021-04-23T10:44:05.324916Z"
16,42,273,50,2445169,33,"2021-04-23T10:44:05.317984Z"
584,50,498,56,2445169,32,"2021-04-15T22:08:14.837387Z"
435,59,490,55,2445169,29,"2021-03-19T15:34:33.633502Z"
62,50,259,73,2445169,29,"2021-03-19T15:34:33.633183Z"
540,59,394,74,2445169,29,"2021-03-19T15:34:33.632865Z"
597,45,291,53,2445169,29,"2021-03-19T15:34:33.632495Z"
202,67,377,58,2445169,29,"2021-03-19T15:34:33.632182Z"
6,81,282,92,2445169,29,"2021-03-19T15:34:33.631855Z"
388,115,569,78,2445169,29,"2021-03-19T15:34:33.631475Z"
390,95,254,122,2445169,29,"2021-03-19T15:34:33.631160Z"
391,48,104,56,2445169,29,"2021-03-19T15:34:33.630666Z"
394,74,368,55,2445169,27,"2021-03-05T15:48:51.254867Z"
466,51,228,64,2445169,25,"2021-02-18T17:59:24.506763Z"
105,47,38,55,2445169,24,"2021-02-09T13:39:51.429418Z"
377,58,504,52,2445169,23,"2021-02-05T18:23:44.915068Z"
104,56,376,47,2445169,22,"2021-02-01T16:35:38.900671Z"
38,55,45,58,2445169,21,"2021-01-29T23:36:11.849991Z"
291,53,429,40,2445169,17,"2020-12-31T09:59:04.961845Z"
45,58,468,66,2445169,17,"2020-12-31T09:58:28.161109Z"
273,49,17,53,2445169,15,"2020-12-23T10:39:11.410208Z"
376,46,279,54,2445169,14,"2020-12-18T20:05:08.534303Z"
504,52,596,45,2445169,11,"2020-12-03T23:04:38.688949Z"
417,45,291,54,2445169,11,"2020-12-03T23:04:38.677774Z"
569,80,588,55,2445169,9,"2020-11-10T17:07:05.687681Z"
596,45,441,61,2445169,9,"2020-11-10T17:07:05.679209Z"
490,55,529,40,2445169,8,"2020-11-06T10:39:34.547417Z"
441,61,569,80,2445169,8,"2020-11-03T20:38:30.125333Z"
588,55,140,58,2445169,6,"2020-10-21T09:39:42.393786Z"
569,80,441,62,2445169,5,"2020-10-07T10:34:50.919710Z"
529,40,104,59,2445169,5,"2020-10-07T10:34:24.967737Z"
498,55,3,55,2445169,2,"2020-09-17T13:33:38.305719Z"
268,103,665,51,2439477,38,"2021-05-21T13:28:38.588659Z"
109,47,280,60,2439477,38,"2021-05-21T13:28:38.581575Z"
589,41,562,43,2439477,38,"2021-05-20T18:30:00.090467Z"
119,83,100,57,2439477,37,"2021-05-18T07:11:21.084027Z"
417,46,157,48,2439477,36,"2021-05-14T07:58:08.892897Z"
389,52,313,56,2439477,35,"2021-05-05T19:34:14.202071Z"
377,57,569,79,2439477,35,"2021-05-05T19:24:35.805682Z"
100,57,119,82,2439477,35,"2021-05-04T11:08:30.324764Z"
370,58,500,82,2439477,35,"2021-05-04T11:08:30.323676Z"
435,56,109,46,2439477,35,"2021-05-04T11:08:30.322698Z"
157,48,597,45,2439477,35,"2021-05-04T11:08:30.309250Z"
569,79,340,57,2439477,34,"2021-04-30T15:17:35.709701Z"
152,49,11,50,2439477,34,"2021-04-30T14:51:43.922515Z"
340,57,303,86,2439477,33,"2021-04-23T10:50:21.776872Z"
119,82,24,52,2439477,32,"2021-04-13T16:36:32.613201Z"
280,60,283,55,2439477,31,"2021-04-09T16:52:09.614196Z"
500,82,235,67,2439477,30,"2021-04-02T10:56:29.400809Z"
283,55,328,42,2439477,30,"2021-04-02T10:56:29.394471Z"
328,42,88,49,2439477,29,"2021-03-19T10:27:46.004377Z"
562,46,270,60,2439477,29,"2021-03-19T10:27:45.997915Z"
392,66,540,59,2439477,27,"2021-03-05T15:50:08.469944Z"
540,59,119,82,2439477,26,"2021-02-24T18:38:54.969372Z"
665,55,651,55,2439477,25,"2021-02-19T09:50:01.984227Z"
651,55,648,60,2439477,24,"2021-02-12T18:29:32.102547Z"
88,49,16,45,2439477,23,"2021-02-05T16:19:23.415442Z"
648,60,377,58,2439477,23,"2021-02-05T12:59:42.744277Z"
119,82,540,59,2439477,23,"2021-02-05T12:59:42.743835Z"
11,51,17,53,2439477,23,"2021-02-05T12:59:42.743470Z"
597,44,252,59,2439477,23,"2021-02-05T12:59:42.742973Z"
16,45,375,46,2439477,22,"2021-02-01T15:09:26.589958Z"
109,45,391,49,2439477,21,"2021-01-29T13:13:22.008177Z"
24,53,203,54,2439477,19,"2021-01-15T16:06:12.515633Z"
262,45,377,60,2439477,18,"2021-01-12T16:06:18.130533Z"
388,110,514,60,2439477,18,"2021-01-12T16:06:18.130236Z"
23,44,203,54,2439477,18,"2021-01-12T16:06:18.129930Z"
24,53,235,68,2439477,18,"2021-01-12T16:06:18.129621Z"
302,113,540,59,2439477,18,"2021-01-12T16:06:18.129309Z"
390,98,275,81,2439477,18,"2021-01-12T16:06:18.128998Z"
146,39,375,46,2439477,18,"2021-01-12T16:06:18.128668Z"
273,50,270,60,2439477,18,"2021-01-12T16:06:18.128326Z"
300,48,313,53,2439477,18,"2021-01-12T16:06:18.127879Z"
16,45,17,53,2439477,18,"2021-01-12T16:06:18.127550Z"
99,40,213,45,2439477,18,"2021-01-12T16:06:18.127229Z"
325,50,252,59,2439477,18,"2021-01-12T16:06:18.126802Z"
203,54,508,76,2439477,17,"2020-12-31T09:58:30.114861Z"
540,59,450,62,2439477,16,"2020-12-28T09:55:02.868426Z"
17,53,494,50,2439477,16,"2020-12-28T09:55:02.862518Z"
391,49,563,50,2439477,11,"2020-12-04T13:31:28.577955Z"
563,50,146,41,2439477,8,"2020-11-06T15:42:17.391898Z"
450,64,69,60,2439477,7,"2020-10-30T17:30:29.394626Z"
213,45,503,40,2439477,5,"2020-10-16T17:56:05.238409Z"
146,41,395,50,2439477,4,"2020-10-02T08:57:27.687803Z"
69,60,18,78,2439477,3,"2020-09-23T19:28:24.552326Z"
494,50,490,55,2439477,2,"2020-09-18T16:14:05.345768Z"
18,76,508,77,2440073,38,"2021-05-21T20:22:23.202220Z"
102,58,451,43,2440073,37,"2021-05-17T12:41:35.679289Z"
249,90,68,59,2440073,36,"2021-05-14T11:40:07.247766Z"
201,43,498,57,2440073,36,"2021-05-14T11:40:07.247458Z"
273,51,102,57,2440073,36,"2021-05-14T11:40:07.247017Z"
132,55,506,65,2440073,35,"2021-05-05T11:01:36.673830Z"
498,57,496,50,2440073,33,"2021-04-23T10:44:49.143873Z"
445,59,370,59,2440073,32,"2021-04-13T12:06:54.793047Z"
506,65,437,64,2440073,31,"2021-04-09T12:17:54.367341Z"
451,43,562,45,2440073,28,"2021-03-11T12:30:42.896113Z"
496,50,280,60,2440073,28,"2021-03-11T12:30:42.887505Z"
566,50,83,43,2440073,26,"2021-02-24T13:36:24.195479Z"
562,45,239,49,2440073,25,"2021-02-18T12:35:56.944997Z"
280,60,432,50,2440073,24,"2021-02-11T14:08:53.623183Z"
83,43,110,53,2440073,24,"2021-02-10T09:05:45.821798Z"
102,56,310,49,2440073,22,"2021-02-01T16:13:56.375668Z"
508,77,198,54,2440073,21,"2021-01-29T10:30:52.042961Z"
271,55,500,82,2440073,20,"2021-01-24T18:15:48.399729Z"
310,49,280,60,2440073,19,"2021-01-15T20:25:27.790361Z"
273,50,328,42,2440073,18,"2021-01-12T09:42:55.486985Z"
17,54,313,53,2440073,18,"2021-01-11T20:35:21.785176Z"
262,45,437,62,2440073,18,"2021-01-11T20:19:32.562779Z"
24,53,500,82,2440073,18,"2021-01-11T20:19:32.562395Z"
23,44,370,61,2440073,18,"2021-01-11T20:19:32.562009Z"
272,117,315,71,2440073,18,"2021-01-11T20:19:32.561395Z"
302,113,198,55,2440073,18,"2021-01-11T20:19:32.560794Z"
328,42,432,50,2440073,18,"2021-01-11T20:19:32.560165Z"
470,41,280,60,2440073,18,"2021-01-11T20:19:32.559566Z"
313,53,239,49,2440073,18,"2021-01-11T20:19:32.558947Z"
556,58,200,46,2440073,18,"2021-01-11T20:19:32.558282Z"
323,47,110,55,2440073,18,"2021-01-11T20:19:32.557642Z"
383,56,278,60,2440073,18,"2021-01-11T20:19:32.556973Z"
482,43,12,48,2440073,18,"2021-01-11T20:19:32.556228Z"
506,65,68,61,2440073,18,"2021-01-11T20:10:15.881978Z"
432,50,97,45,2440073,17,"2021-01-01T11:45:10.402417Z"
97,45,369,48,2440073,16,"2020-12-28T10:15:02.393749Z"
437,62,262,45,2440073,12,"2020-12-10T14:34:12.464231Z"
369,48,459,50,2440073,12,"2020-12-08T19:02:03.594422Z"
370,61,489,58,2440073,11,"2020-12-01T19:03:19.094869Z"
239,48,260,54,2440073,9,"2020-11-12T17:07:17.160799Z"
489,58,557,50,2440073,9,"2020-11-09T19:48:17.582337Z"
110,52,239,47,2440073,8,"2020-11-03T20:29:19.916473Z"
557,50,489,59,2440073,6,"2020-10-21T14:43:09.166015Z"
262,45,86,59,2440073,5,"2020-10-06T07:18:49.109630Z"
239,47,347,54,2440073,4,"2020-10-01T20:20:14.686720Z"
198,56,445,64,2440073,3,"2020-09-22T17:10:08.187455Z"
12,45,186,45,2440073,2,"2020-09-16T10:42:49.694005Z"
594,40,549,44,2752114,38,"2021-05-23T09:40:32.010981Z"
81,53,652,50,2752114,38,"2021-05-23T09:36:03.945337Z"
20,47,465,60,2752114,37,"2021-05-17T19:20:23.262263Z"
369,47,219,55,2752114,36,"2021-05-14T12:11:29.747809Z"
302,115,449,51,2752114,36,"2021-05-14T08:07:11.804152Z"
549,44,546,52,2752114,34,"2021-04-30T11:29:57.228072Z"
465,60,540,58,2752114,33,"2021-04-23T15:42:20.599115Z"
540,58,4,113,2752114,33,"2021-04-23T11:55:18.743789Z"
219,55,398,52,2752114,33,"2021-04-23T11:55:18.742992Z"
481,54,557,49,2752114,32,"2021-04-15T21:46:16.133224Z"
652,50,42,48,2752114,31,"2021-04-09T09:09:26.058214Z"
546,52,576,45,2752114,30,"2021-04-02T20:11:12.831945Z"
326,48,483,46,2752114,29,"2021-03-19T12:06:40.112148Z"
576,45,283,55,2752114,28,"2021-03-12T12:03:23.635706Z"
398,52,219,55,2752114,27,"2021-03-05T20:05:00.348274Z"
219,55,62,49,2752114,26,"2021-02-26T12:51:23.234690Z"
62,49,558,46,2752114,25,"2021-02-18T13:27:09.958781Z"
283,55,219,55,2752114,24,"2021-02-12T23:23:31.428790Z"
437,67,366,84,2752114,23,"2021-02-05T19:08:56.756778Z"
506,68,164,73,2752114,23,"2021-02-05T19:08:56.756450Z"
202,66,91,62,2752114,23,"2021-02-05T19:08:56.756099Z"
23,44,301,60,2752114,23,"2021-02-05T19:08:56.755695Z"
302,114,203,54,2752114,23,"2021-02-05T19:08:56.755358Z"
254,127,4,113,2752114,23,"2021-02-05T19:08:56.754791Z"
273,52,558,46,2752114,23,"2021-02-05T19:08:56.754001Z"
259,74,556,58,2752114,23,"2021-02-05T19:08:56.753301Z"
104,56,300,48,2752114,23,"2021-02-05T19:08:56.752574Z"
239,51,219,55,2752114,23,"2021-02-05T19:08:56.751814Z"
