"name","time","event","id"
"freehit","2021-01-16T08:11:07.762459Z",19,"882240"
"wildcard","2021-05-05T22:11:18.759645Z",35,"882240"
"bboost","2021-05-17T12:45:54.896271Z",37,"882240"
"3xc","2021-05-20T13:52:56.745249Z",38,"882240"
"freehit","2021-03-19T15:34:33.628881Z",29,"2445169"
"wildcard","2021-04-29T22:17:27.657183Z",34,"2445169"
"3xc","2021-05-07T14:21:37.544303Z",35,"2445169"
"bboost","2021-05-17T15:32:00.133096Z",37,"2445169"
"freehit","2021-01-12T16:06:18.123236Z",18,"2439477"
"wildcard","2021-02-05T12:59:42.740814Z",23,"2439477"
"bboost","2021-05-14T07:58:43.875339Z",36,"2439477"
"3xc","2021-05-20T18:30:25.594513Z",38,"2439477"
"freehit","2021-01-11T20:10:15.879958Z",18,"2440073"
"wildcard","2021-05-14T11:40:07.245376Z",36,"2440073"
"bboost","2021-05-16T21:01:33.309522Z",37,"2440073"
"3xc","2021-05-21T16:19:44.304685Z",38,"2440073"
"freehit","2021-02-05T19:08:56.746661Z",23,"2752114"
"wildcard","2021-04-23T11:55:18.740148Z",33,"2752114"
"3xc","2021-05-14T12:15:51.561280Z",36,"2752114"
"bboost","2021-05-21T09:02:25.425866Z",38,"2752114"
"freehit","2021-01-12T00:24:39.128691Z",18,"2438353"
"wildcard","2021-02-18T12:29:16.623647Z",25,"2438353"
"3xc","2021-05-17T00:36:19.918933Z",37,"2438353"
"bboost","2021-05-21T09:06:32.930012Z",38,"2438353"
"wildcard","2020-09-22T21:01:01.490798Z",3,"2438184"
"wildcard","2021-02-09T18:48:41.713974Z",24,"2438184"
"3xc","2021-05-14T12:04:01.142007Z",36,"2438184"
"bboost","2021-05-16T18:16:21.522946Z",37,"2438184"
"freehit","2021-01-15T21:19:22.189392Z",19,"2441126"
"wildcard","2021-05-14T14:47:54.312504Z",36,"2441126"
"bboost","2021-05-16T22:23:01.181354Z",37,"2441126"
"3xc","2021-05-19T22:45:58.094263Z",38,"2441126"
"wildcard","2020-12-28T12:46:20.315202Z",16,"842932"
"freehit","2021-01-06T06:49:50.094958Z",18,"842932"
"3xc","2021-03-06T10:04:00.605499Z",27,"842932"
"wildcard","2021-04-09T16:39:22.609964Z",31,"842932"
"bboost","2021-05-07T16:37:29.890127Z",35,"842932"
