"event","points","total_points","rank","rank_sort","overall_rank","percentile_rank","bank","value","event_transfers","event_transfers_cost","points_on_bench","id"
1,49,49,6306793,6307884,6306792,75,105,1000,0,0,12,"96097"
2,67,116,5509859,5510970,5918487,60,105,1003,1,0,19,"96097"
3,36,152,9504911,9504968,7493525,100,105,1005,0,0,3,"96097"
4,63,215,1847996,1848412,6515404,20,91,1000,1,0,11,"96097"
5,56,271,5869767,5870480,6487033,60,91,1000,1,0,0,"96097"
6,74,345,939498,939750,4919331,10,91,998,0,0,8,"96097"
7,53,398,2997548,2998209,4392283,30,65,1000,2,0,13,"96097"
8,29,427,7979641,7980588,4935069,80,65,1002,1,0,1,"96097"
9,53,480,5990393,5991409,5051636,60,79,1002,1,0,3,"96097"
10,39,519,5230196,5231083,5012453,50,82,1001,1,0,2,"96097"
11,36,555,8924367,8924720,5634068,90,65,999,1,0,0,"96097"
1,64,64,2621727,2625716,2621727,35,0,1000,0,0,3,"93926"
2,103,167,144748,145058,141606,5,15,1002,1,0,9,"93926"
3,78,245,1890635,1891812,175839,20,1,1005,0,0,8,"93926"
4,47,292,6377556,6379316,414166,65,1,1008,0,0,1,"93926"
5,77,369,707571,708429,186752,10,1,1010,0,0,3,"93926"
6,68,437,1656124,1656392,69954,20,9,1012,3,0,0,"93926"
7,77,514,120253,120476,6929,5,9,1015,0,0,1,"93926"
8,26,540,8970001,8970371,28938,90,2,1017,2,0,0,"93926"
9,61,601,3094172,3095207,45065,30,2,1018,0,0,4,"93926"
10,39,640,5230196,5231057,91565,50,1,1021,1,0,17,"93926"
11,67,707,1226339,1226832,70811,15,3,1021,2,0,2,"93926"
1,48,48,6519652,6540190,6519651,80,35,1000,0,0,11,"1114016"
2,65,113,5945831,5955944,6264604,65,40,1000,1,0,8,"1114016"
3,42,155,9035987,9039135,7302981,95,75,997,0,0,5,"1114016"
4,49,204,5762480,5780439,7222461,60,75,996,0,0,3,"1114016"
5,54,258,6313886,6327570,7212818,65,75,997,0,0,3,"1114016"
6,24,282,9985149,9985701,8202748,100,73,996,1,0,3,"1114016"
7,25,307,10257017,10257474,8702510,100,52,994,2,0,6,"1114016"
8,27,334,8629862,8637482,8833731,90,56,991,1,0,7,"1114016"
9,34,368,10195734,10196261,9058738,100,53,992,1,0,3,"1114016"
10,45,413,3178752,3184947,8886815,30,82,992,2,0,7,"1114016"
11,52,465,4429999,4437598,8732075,45,70,990,1,0,16,"1114016"
1,54,54,5141847,5144107,5141845,60,75,1000,0,0,5,"109884"
2,30,84,9486404,9486408,8389664,100,85,1001,1,0,8,"109884"
3,65,145,5374802,5375346,7925314,55,81,997,2,4,5,"109884"
4,39,184,8446160,8446659,8253973,90,81,997,1,0,18,"109884"
5,59,243,4904735,4905783,7933015,50,85,995,1,0,5,"109884"
6,32,275,8977219,8977797,8421339,90,85,999,0,0,3,"109884"
7,55,330,2472418,2472995,8076914,25,117,997,2,0,2,"109884"
8,29,359,7762346,7764082,8228394,75,117,1000,0,0,6,"109884"
9,77,436,338862,339158,7282809,5,117,1001,1,0,7,"109884"
10,49,485,2069656,2070396,6762444,20,148,1002,2,0,5,"109884"
11,51,536,4543149,4544140,6536550,45,148,1006,0,0,14,"109884"
1,40,40,7834155,7911926,7834155,95,80,1000,0,0,2,"6188948"
2,53,93,7969006,8007324,7898417,90,80,1000,0,0,0,"6188948"
3,50,143,8214294,8229216,8022191,90,84,994,2,0,0,"6188948"
4,36,179,8961703,8986018,8436568,90,88,994,1,0,2,"6188948"
5,57,236,5550284,5603003,8199707,55,94,995,1,0,-1,"6188948"
6,41,277,7208112,7237258,8363535,70,93,997,1,0,16,"6188948"
7,24,301,10266320,10283689,8833907,100,93,998,0,0,10,"6188948"
8,31,332,7027089,7143338,8873575,70,93,997,0,0,12,"6188948"
9,42,374,8994504,9063507,8958023,90,93,998,0,0,0,"6188948"
10,41,415,4592565,4607035,8851036,45,98,999,3,0,0,"6188948"
11,38,453,8474965,8491001,8947875,80,98,997,2,0,3,"6188948"
1,41,41,7710872,7722778,7710872,90,50,1000,0,0,16,"1123161"
2,63,96,6450236,6450841,7764341,70,49,998,3,8,2,"1123161"
3,41,133,9198289,9199417,8494886,95,67,999,2,4,3,"1123161"
4,28,161,9815419,9818223,8938342,100,90,998,0,0,10,"1123161"
5,56,217,5869767,5879676,8774437,60,96,996,1,0,6,"1123161"
6,54,271,4108447,4115000,8533676,40,96,997,1,0,4,"1123161"
7,59,330,1477499,1487814,8076914,15,96,997,0,0,16,"1123161"
8,57,387,487596,489097,7211967,5,102,996,2,0,15,"1123161"
9,58,445,4242296,4253406,6913965,45,101,997,1,0,10,"1123161"
10,42,487,3914402,3930688,6673692,40,101,1000,0,0,5,"1123161"
11,45,532,6273094,6285837,6708929,60,101,1001,0,0,6,"1123161"
1,48,48,6519652,6519683,6519651,80,20,1000,0,0,5,"10946"
2,79,127,2556862,2557013,4335531,30,20,998,0,0,1,"10946"
3,59,186,6590344,6590365,4914928,70,20,996,0,0,5,"10946"
4,61,247,2300895,2300942,3932035,25,33,996,1,0,2,"10946"
5,43,290,9090424,9090432,5195804,90,33,1000,0,0,15,"10946"
6,31,321,9137541,9137560,6484770,90,33,998,0,0,5,"10946"
7,47,368,4621626,4621733,6370597,45,33,997,0,0,9,"10946"
8,23,391,9512609,9512668,7005100,95,33,995,0,0,15,"10946"
9,44,435,8538989,8539012,7305655,90,33,995,0,0,8,"10946"
10,28,463,9024792,9024817,7605545,90,33,993,0,0,10,"10946"
11,45,508,6273094,6273208,7601048,60,33,992,0,0,15,"10946"
1,33,33,8384409,8413411,8384408,100,110,1000,0,0,5,"6186573"
2,55,88,7675426,7717148,8172698,90,110,999,0,0,5,"6186573"
3,38,126,9373817,9394453,8715701,95,110,998,0,0,3,"6186573"
4,50,176,5609999,5658898,8531491,60,110,996,1,0,2,"6186573"
5,65,241,2958703,3039082,7997753,30,110,996,0,0,15,"6186573"
6,59,300,3051901,3081770,7532726,30,113,994,1,0,5,"6186573"
7,33,333,9058049,9120672,7964178,90,113,994,0,0,9,"6186573"
8,48,381,1576996,1639669,7447615,15,113,995,0,0,7,"6186573"
9,22,403,10557127,10560133,8339805,100,113,996,0,0,1,"6186573"
10,46,449,2659638,2745619,8052961,25,113,995,0,0,2,"6186573"
11,32,481,9603951,9661088,8378480,90,113,995,0,0,13,"6186573"
1,68,68,1746835,1777918,1746835,25,55,1000,0,0,3,"1077612"
2,37,105,9310868,9311953,7015385,100,55,1000,0,0,12,"1077612"
3,61,166,6258069,6264444,6546547,65,59,997,1,0,2,"1077612"
4,39,205,8446160,8451178,7167533,90,43,995,1,0,13,"1077612"
5,51,256,7219786,7231594,7319549,75,43,995,0,0,5,"1077612"
6,52,308,4608692,4614395,7177348,45,51,995,2,0,8,"1077612"
7,45,353,5303098,5317348,7155640,55,51,993,0,0,10,"1077612"
8,77,430,3789,3823,4720383,1,60,993,1,0,0,"1077612"
9,49,479,7329220,7335892,5106485,70,64,993,1,0,4,"1077612"
10,49,528,2021020,2030258,4476136,20,62,994,1,0,16,"1077612"
11,64,592,1687188,1692291,3640985,20,51,997,2,0,4,"1077612"
