"code","event","finished","finished_provisional","id","kickoff_time","minutes","provisional_start_time","started","team_a","team_a_score","team_h","team_h_score","team_h_difficulty","team_a_difficulty","pulse_id"
2444470,1,TRUE,TRUE,1,"2024-08-16T19:00:00Z",90,FALSE,TRUE,9,0,14,1,3,3,115827
2444473,1,TRUE,TRUE,4,"2024-08-17T11:30:00Z",90,FALSE,TRUE,12,2,10,0,5,2,115830
2444471,1,TRUE,TRUE,2,"2024-08-17T14:00:00Z",90,FALSE,TRUE,20,0,1,2,2,5,115828
2444472,1,TRUE,TRUE,3,"2024-08-17T14:00:00Z",90,FALSE,TRUE,5,3,8,0,3,3,115829
2444474,1,TRUE,TRUE,5,"2024-08-17T14:00:00Z",90,FALSE,TRUE,17,0,15,1,2,4,115831
2444475,1,TRUE,TRUE,6,"2024-08-17T14:00:00Z",90,FALSE,TRUE,3,1,16,1,3,3,115832
2444476,1,TRUE,TRUE,7,"2024-08-17T16:30:00Z",90,FALSE,TRUE,2,2,19,1,3,2,115833
2444477,1,TRUE,TRUE,8,"2024-08-18T13:00:00Z",90,FALSE,TRUE,7,1,4,2,3,4,115834
2444478,1,TRUE,TRUE,9,"2024-08-18T15:30:00Z",90,FALSE,TRUE,13,2,6,0,4,4,115835
2444479,1,TRUE,TRUE,10,"2024-08-19T19:00:00Z",90,FALSE,TRUE,18,1,11,1,4,2,115836
2444482,2,TRUE,TRUE,13,"2024-08-24T11:30:00Z",90,FALSE,TRUE,14,1,5,2,3,3,115839
2444483,2,TRUE,TRUE,14,"2024-08-24T14:00:00Z",90,FALSE,TRUE,19,2,7,0,2,3,115840
2444484,2,TRUE,TRUE,15,"2024-08-24T14:00:00Z",90,FALSE,TRUE,11,1,9,2,2,3,115841
2444486,2,TRUE,TRUE,17,"2024-08-24T14:00:00Z",90,FALSE,TRUE,10,1,13,4,2,4,115843
2444487,2,TRUE,TRUE,18,"2024-08-24T14:00:00Z",90,FALSE,TRUE,16,1,17,0,3,2,115844
2444488,2,TRUE,TRUE,19,"2024-08-24T14:00:00Z",90,FALSE,TRUE,8,0,18,4,2,4,115845
2444481,2,TRUE,TRUE,11,"2024-08-24T16:30:00Z",90,FALSE,TRUE,1,2,2,0,4,4,115837
2444480,2,TRUE,TRUE,12,"2024-08-25T13:00:00Z",90,FALSE,TRUE,15,1,3,1,3,3,115838
2444489,2,TRUE,TRUE,20,"2024-08-25T13:00:00Z",90,FALSE,TRUE,6,6,20,2,4,2,115846
2444485,2,TRUE,TRUE,16,"2024-08-25T15:30:00Z",90,FALSE,TRUE,4,0,12,2,2,5,115842
2444490,3,TRUE,TRUE,21,"2024-08-31T11:30:00Z",90,FALSE,TRUE,5,1,1,1,3,5,115847
2444491,3,TRUE,TRUE,22,"2024-08-31T14:00:00Z",90,FALSE,TRUE,17,1,4,3,2,4,115848
2444493,3,TRUE,TRUE,24,"2024-08-31T14:00:00Z",90,FALSE,TRUE,3,3,8,2,3,3,115850
2444494,3,TRUE,TRUE,25,"2024-08-31T14:00:00Z",90,FALSE,TRUE,9,1,10,1,3,2,115851
2444495,3,TRUE,TRUE,26,"2024-08-31T14:00:00Z",90,FALSE,TRUE,2,2,11,1,3,2,115852
2444498,3,TRUE,TRUE,29,"2024-08-31T14:00:00Z",90,FALSE,TRUE,20,1,16,1,2,3,115855
2444499,3,TRUE,TRUE,30,"2024-08-31T16:30:00Z",90,FALSE,TRUE,13,3,19,1,4,2,115856
2444492,3,TRUE,TRUE,23,"2024-09-01T12:30:00Z",90,FALSE,TRUE,7,1,6,1,3,4,115849
2444497,3,TRUE,TRUE,28,"2024-09-01T12:30:00Z",90,FALSE,TRUE,18,1,15,2,4,4,115854
2444496,3,TRUE,TRUE,27,"2024-09-01T15:00:00Z",90,FALSE,TRUE,12,3,14,0,5,3,115853
2444507,4,TRUE,TRUE,38,"2024-09-14T11:30:00Z",90,FALSE,TRUE,14,3,17,0,3,2,115864
2444502,4,TRUE,TRUE,33,"2024-09-14T14:00:00Z",90,FALSE,TRUE,10,0,5,0,2,3,115859
2444503,4,TRUE,TRUE,34,"2024-09-14T14:00:00Z",90,FALSE,TRUE,11,2,7,2,2,3,115860
2444504,4,TRUE,TRUE,35,"2024-09-14T14:00:00Z",90,FALSE,TRUE,19,1,9,1,2,3,115861
2444505,4,TRUE,TRUE,36,"2024-09-14T14:00:00Z",90,FALSE,TRUE,16,1,12,0,3,5,115862
2444506,4,TRUE,TRUE,37,"2024-09-14T14:00:00Z",90,FALSE,TRUE,4,1,13,2,2,4,115863
2444501,4,TRUE,TRUE,31,"2024-09-14T16:30:00Z",90,FALSE,TRUE,8,2,2,3,2,4,115857
2444500,4,TRUE,TRUE,32,"2024-09-14T19:00:00Z",90,FALSE,TRUE,6,1,3,0,4,3,115858
2444508,4,TRUE,TRUE,39,"2024-09-15T13:00:00Z",90,FALSE,TRUE,1,1,18,0,4,4,115865
2444509,4,TRUE,TRUE,40,"2024-09-15T15:30:00Z",90,FALSE,TRUE,15,2,20,1,3,2,115866
