"element_in","element_in_cost","element_out","element_out_cost","entry","event","time"
82,73,207,76,96097,36,"2025-05-06T11:18:41.704148Z"
88,45,200,46,96097,35,"2025-05-02T14:38:12.528971Z"
106,51,385,66,96097,35,"2025-05-02T14:31:03.640163Z"
580,45,44,44,96097,34,"2025-04-26T07:43:49.043271Z"
8,48,85,44,96097,33,"2025-04-18T19:27:39.659322Z"
232,52,11,59,96097,32,"2025-04-11T08:06:47.974305Z"
392,59,89,50,96097,32,"2025-04-11T08:06:47.974006Z"
44,44,3,61,96097,31,"2025-04-05T06:54:23.100132Z"
11,59,232,53,96097,28,"2025-03-08T08:21:28.029869Z"
554,43,185,45,96097,28,"2025-03-08T08:21:28.025992Z"
533,47,49,44,96097,27,"2025-02-24T20:52:22.155935Z"
49,44,44,44,96097,25,"2025-02-14T17:37:10.292483Z"
385,66,9,66,96097,25,"2025-02-14T07:28:08.980606Z"
321,76,306,54,96097,24,"2025-02-01T07:17:07.235917Z"
401,95,207,74,96097,24,"2025-02-01T07:17:07.235722Z"
608,45,394,61,96097,24,"2025-02-01T07:17:07.235522Z"
177,61,317,72,96097,24,"2025-02-01T07:17:07.235322Z"
54,56,89,50,96097,24,"2025-02-01T07:17:07.235109Z"
328,137,9,67,96097,24,"2025-02-01T07:17:07.234889Z"
270,39,395,44,96097,24,"2025-02-01T07:17:07.234686Z"
291,39,200,45,96097,24,"2025-02-01T07:17:07.234480Z"
163,51,85,44,96097,24,"2025-02-01T07:17:07.234265Z"
236,48,44,44,96097,24,"2025-02-01T07:17:07.233994Z"
311,74,3,62,96097,24,"2025-02-01T07:17:07.233780Z"
308,39,310,55,96097,24,"2025-02-01T07:17:07.233557Z"
235,51,185,47,96097,24,"2025-02-01T07:17:07.233280Z"
185,48,325,41,96097,23,"2025-01-25T06:45:13.068323Z"
232,54,251,55,96097,23,"2025-01-24T09:07:46.505497Z"
89,50,491,63,96097,23,"2025-01-24T09:07:46.505259Z"
85,44,437,43,96097,23,"2025-01-24T09:07:46.504909Z"
437,43,594,44,96097,22,"2025-01-17T18:05:38.694978Z"
