"season_name","total_points","rank","id"
"2020/21",1961,2997743,"96097"
"2021/22",1950,3271797,"96097"
"2022/23",1825,7278681,"96097"
"2023/24",1681,8451528,"96097"
"2008/09",1843,183769,"93926"
"2009/10",2265,32335,"93926"
"2010/11",1779,710140,"93926"
"2011/12",1976,214459,"93926"
"2012/13",2147,32377,"93926"
"2013/14",2024,946272,"93926"
"2014/15",2038,130700,"93926"
"2015/16",2193,48026,"93926"
"2016/17",2120,190993,"93926"
"2017/18",2238,61860,"93926"
"2018/19",2208,242611,"93926"
"2019/20",2178,396464,"93926"
"2020/21",2416,64037,"93926"
"2021/22",2388,341867,"93926"
"2022/23",2398,666307,"93926"
"2023/24",2482,107450,"93926"
"2013/14",2082,712840,"1114016"
"2014/15",1607,2074084,"1114016"
"2015/16",2015,565803,"1114016"
"2016/17",1732,2284978,"1114016"
"2017/18",1771,3036350,"1114016"
"2018/19",1602,5154399,"1114016"
"2019/20",1996,1938081,"1114016"
"2020/21",1799,4503539,"1114016"
"2021/22",2046,2373880,"1114016"
"2022/23",2003,5209118,"1114016"
"2023/24",1773,7528444,"1114016"
"2008/09",1730,444658,"109884"
"2009/10",1781,1049549,"109884"
"2010/11",1822,545322,"109884"
"2011/12",1637,1505328,"109884"
"2012/13",1934,418441,"109884"
"2013/14",1864,1527749,"109884"
"2014/15",1900,586414,"109884"
"2015/16",2049,406671,"109884"
"2016/17",2149,134596,"109884"
"2017/18",1899,2024940,"109884"
"2018/19",1998,1906519,"109884"
"2019/20",1855,3632691,"109884"
"2020/21",1857,3989902,"109884"
"2021/22",2107,1866170,"109884"
"2022/23",1882,6655051,"109884"
"2023/24",1861,6479820,"109884"
"2014/15",1493,2586747,"6188948"
"2015/16",1581,2640688,"6188948"
"2016/17",1860,1423456,"6188948"
"2017/18",1539,4574574,"6188948"
"2018/19",1932,2713380,"6188948"
"2019/20",1621,5880667,"6188948"
"2020/21",1896,3624486,"6188948"
"2021/22",2043,2403624,"6188948"
"2022/23",1817,7362529,"6188948"
"2023/24",1609,8991240,"6188948"
"2018/19",1929,2751830,"1123161"
"2019/20",1913,2924848,"1123161"
"2020/21",1907,3520843,"1123161"
"2021/22",1907,3701999,"1123161"
"2022/23",1749,8035416,"1123161"
"2023/24",1980,5031187,"1123161"
"2013/14",1722,1958144,"10946"
"2014/15",1632,1953710,"10946"
"2015/16",1449,3068069,"10946"
"2016/17",1656,2761081,"10946"
"2017/18",1799,2820079,"10946"
"2018/19",1700,4728401,"10946"
"2019/20",1856,3618420,"10946"
"2020/21",1837,4168576,"10946"
"2021/22",1903,3737839,"10946"
"2022/23",1948,5882363,"10946"
"2023/24",2059,4057491,"10946"
"2023/24",1770,7554960,"6186573"
"2013/14",1766,1828879,"1077612"
"2014/15",1829,954264,"1077612"
"2015/16",1792,1826284,"1077612"
"2016/17",2193,74441,"1077612"
"2017/18",2080,601320,"1077612"
"2018/19",1930,2739205,"1077612"
"2019/20",1898,3105466,"1077612"
"2020/21",2056,2090208,"1077612"
"2021/22",1849,4297865,"1077612"
"2022/23",1695,8512482,"1077612"
"2023/24",1972,5128057,"1077612"
