Player,Team,Pos,GW4,GW5,GW6,GW7,GW8,GW9,Total,Price,Value
Adams,Bournemouth,M,3.1,2.9,2.86,2.93,2.73,2.82,17.34,5m,3.47
Mykolenko,Everton,D,3.31,1.93,3.65,3.41,2.02,2.99,17.31,4.9m,3.53
Truffert,Bournemouth,D,3,2.71,2.84,3.16,2.54,3.03,17.27,4.5m,3.84
Bogle,Leeds,D,2.62,2.84,2.84,2.6,3.12,3.25,17.26,4.5m,3.84
Brooks,Bournemouth,M,3.36,2.9,2.8,2.93,2.41,2.69,17.09,5m,3.42
O'Brien,Everton,D,3.27,1.87,3.66,3.39,1.95,2.94,17.08,5m,3.42
Xhaka,Sunderland,M,2.9,2.94,2.76,2.68,3.12,2.58,16.98,5m,3.4
Aina,Nott'm Forest,D,1.92,3.52,3.99,2.33,2.62,2.54,16.91,5m,3.38
Chalobah,Chelsea,D,3.59,2.42,2.92,2.28,2.5,3.15,16.85,5.1m,3.3
Yoro,Man Utd,D,2.07,2.78,3.03,3.94,1.93,3.08,16.83,4.5m,3.74
Perri,Leeds,GK,2.24,2.85,2.84,2.74,3.04,3.09,16.8,4.5m,3.73
Hannibal,Burnley,M,2.75,2.88,2.62,2.71,3,2.83,16.79,5m,3.36
Keane,Everton,D,3.75,2.17,3.58,3.15,1.77,2.36,16.78,4.5m,3.73
Yarmoliuk,Brentford,M,2.89,2.78,2.8,2.76,2.74,2.74,16.71,5m,3.34
Diouf,West Ham,D,2.76,3.18,2.74,1.7,3.39,2.89,16.66,4.5m,3.7
Berge,Fulham,M,2.94,2.9,2.7,2.69,2.7,2.67,16.6,5m,3.32
Talbi,Sunderland,M,2.89,2.91,2.66,2.52,3.23,2.38,16.59,5m,3.32
Spence,Tottenham,D,2.93,2.29,3.48,2.73,2.63,2.41,16.47,4.5m,3.66
Summerville,West Ham,M,2.96,3,2.6,2.25,3,2.64,16.45,5.5m,2.99
Barnes,Newcastle,M,4.1,2.86,2.18,2.63,2.09,2.4,16.25,6.5m,2.5
Kilman,West Ham,D,2.66,3.03,2.73,1.88,3.13,2.78,16.21,4.4m,3.68
Van Hecke,Brighton,D,2.65,2.95,2.18,3.23,2.9,2.25,16.17,4.5m,3.59
Joelinton,Newcastle,M,1,2.94,2.75,3.17,2.85,3.27,15.99,5.9m,2.71
Lukic,Fulham,M,2.88,2.84,2.58,2.57,2.57,2.54,15.98,5m,3.2
Ugochukwu,Burnley,M,2.63,2.72,2.53,2.59,2.81,2.68,15.96,5m,3.19
Dunk,Brighton,D,2.65,2.97,2.1,3.21,2.86,2.16,15.95,4.5m,3.54
Sadiki,Sunderland,M,2.79,2.7,2.57,2.53,2.85,2.47,15.91,5m,3.18
S.Magassa,West Ham,M,2.6,2.65,2.56,2.49,2.8,2.66,15.76,5m,3.15
Kluivert,Bournemouth,M,1.71,2.7,2.72,2.97,2.57,3.02,15.69,7m,2.24
Walker,Burnley,D,2.15,3.08,1.82,2.37,3.33,2.92,15.67,4.5m,3.48
Gnonto,Leeds,M,2.69,2.54,2.59,2.5,2.54,2.63,15.5,5.4m,2.87
Mings,Aston Villa,D,2.56,2.87,2.83,3.28,1.97,1.96,15.48,4.5m,3.44
Branthwaite,Everton,D,0,2.25,3.88,3.66,2.37,3.28,15.43,5.3m,2.91
Trippier,Newcastle,D,3.9,2.45,1.97,2.64,1.92,2.54,15.43,5m,3.09
J.Ramsey,Newcastle,M,3.53,2.67,2.31,2.57,2.06,2.28,15.41,5.4m,2.85
Lewis-Potter,Brentford,D,2.68,2.7,2.7,2.28,2.82,2.2,15.39,5m,3.08
King,Fulham,M,2.84,2.8,2.46,2.45,2.37,2.36,15.28,4.5m,3.4
Hughes,Crystal Palace,M,3.26,2.49,2.42,2.38,2.45,2.21,15.19,4.9m,3.1
Dorgu,Man Utd,D,1.82,2.53,2.79,3.72,1.58,2.75,15.19,4.5m,3.37
Tchatchoua,Wolves,D,1.87,3,1.81,2.41,2.72,3.33,15.14,4.5m,3.36
Bobb,Man City,M,2.94,1.94,3.02,2.5,2.5,2.24,15.14,5.5m,2.75
De Cuyper,Brighton,D,2.48,2.79,1.99,3.03,2.73,2.09,15.11,4.5m,3.36
Lerma,Crystal Palace,M,3.37,2.51,2.41,2.34,2.34,2.12,15.09,5m,3.02
Van den Berg,Brentford,D,2.61,2.66,2.61,2.25,2.8,2.16,15.08,4.5m,3.35
Bassey,Fulham,D,3.34,3.14,2.2,2.25,2.11,2.02,15.07,4.5m,3.35
Kamada,Crystal Palace,M,3.29,2.49,2.37,2.34,2.45,2.12,15.04,5m,3.01
Ekdal,Burnley,D,2.11,3,1.78,2.28,3.11,2.73,15.03,4m,3.76
Gusto,Chelsea,D,3,2.02,2.6,1.97,2.31,3.06,14.95,5m,2.99
Esteve,Burnley,D,2.01,2.91,1.76,2.26,3.12,2.77,14.83,4m,3.71
Longstaff,Leeds,M,2.62,2.45,2.47,2.39,2.38,2.43,14.74,4.9m,3.01
Walker-Peters,West Ham,D,2.45,2.86,2.46,1.44,2.97,2.52,14.69,4.4m,3.34
Devenny,Crystal Palace,M,3.84,2.56,2.25,2.15,2.17,1.67,14.63,4.5m,3.25
Marmoush,Man City,M,1.32,1.92,3.25,2.68,2.74,2.45,14.36,8.4m,1.71
Gordon,Newcastle,M,0,0,3.08,3.93,3.31,4.04,14.36,7.4m,1.94
Calvert-Lewin,Leeds,F,2.06,2.29,2.42,2.39,2.51,2.65,14.31,5.5m,2.6
Brobbey,Sunderland,F,2,2.56,2.35,2.26,2.93,2.15,14.25,5.5m,2.59
Hee Chan,Wolves,M,2.32,2.67,2.06,2.31,2.25,2.61,14.22,5.9m,2.41
Shaw,Man Utd,D,1.75,2.44,2.66,3.5,1.38,2.4,14.12,4.5m,3.14
Frimpong,Liverpool,D,1.51,2.86,2.45,1.94,2.6,2.72,14.09,5.9m,2.39
Ballard,Sunderland,D,1.64,2.68,2.41,2.02,3.28,1.97,14,4.6m,3.04
Ampadu,Leeds,M,1.31,2.46,2.5,2.47,2.57,2.65,13.97,4.9m,2.85
Richarlison,Tottenham,F,2.67,2.27,2.73,2.21,2.13,1.8,13.81,6.7m,2.06
Reinildo,Sunderland,D,2.36,2.51,2.22,1.8,3.06,1.73,13.68,4m,3.42
O'Nien,Sunderland,D,0.18,2.84,2.63,2.31,3.41,2.28,13.65,4m,3.41
Douglas Luiz,Nott'm Forest,M,1.92,2.49,2.69,2.16,2.18,2.2,13.63,5m,2.73
Kayode,Brentford,D,2.36,2.42,2.39,1.98,2.56,1.9,13.6,4.5m,3.02
Gruda,Brighton,M,2.24,2.43,1.9,2.37,2.31,2.01,13.26,5.4m,2.46
Bentancur,Tottenham,M,2.35,2.15,2.43,2.14,2.14,1.99,13.19,5.5m,2.4
Hume,Sunderland,D,2.32,2.48,2.14,1.7,2.92,1.57,13.14,4.5m,2.92
Hartman,Burnley,D,1.68,2.63,1.36,1.92,2.87,2.47,12.93,4m,3.23
Foster,Burnley,F,2.21,2.31,1.85,2.03,2.37,2.15,12.92,5m,2.58
Alderete,Sunderland,D,2.64,2.56,2.16,1.71,2.4,1.41,12.89,4m,3.22
Garnacho,Chelsea,M,2.73,1.79,2.1,1.87,1.95,2.39,12.83,6.4m,2.01
Bijol,Leeds,D,1.36,2.2,2.2,2.05,2.47,2.56,12.83,4m,3.21
Johnson,Tottenham,M,2.35,1.98,2.48,2.01,2,1.73,12.56,7.1m,1.77
Moller Wolfe,Wolves,D,1.57,2.42,1.52,2,2.27,2.78,12.55,4.5m,2.79
Smith,Bournemouth,D,1.59,1.94,2.08,2.37,1.89,2.32,12.19,4.5m,2.71
Cook,Bournemouth,M,0,2.33,2.35,2.47,2.36,2.51,12.02,4.9m,2.45
Maatsen,Aston Villa,D,1.91,2.17,2.19,2.6,1.57,1.58,12.01,4.4m,2.73
Janelt,Brentford,M,0,2.35,2.41,2.35,2.42,2.39,11.92,4.9m,2.43
James,Chelsea,D,2.44,1.45,1.94,1.55,1.9,2.6,11.88,5.5m,2.16
Beto,Everton,F,2.32,1.59,2.14,2.05,1.66,2.08,11.84,5.4m,2.19
Henderson,Brentford,M,2.23,1.97,1.97,1.89,1.89,1.82,11.78,5m,2.36
Onana,Aston Villa,M,1.59,2.01,2.05,2.19,1.9,1.92,11.67,5m,2.33
Struijk,Leeds,D,2.09,1.9,1.87,1.72,1.97,2,11.55,4.5m,2.57
Digne,Aston Villa,D,1.85,2.09,2.11,2.5,1.5,1.5,11.54,4.5m,2.56
Bradley,Liverpool,D,2.66,2.11,1.76,1.36,1.77,1.83,11.49,5m,2.3
Welbeck,Brighton,F,1.72,1.93,1.57,2,2.06,1.85,11.13,6.4m,1.74
Soucek,West Ham,M,1.81,1.88,1.76,1.65,2.09,1.94,11.13,5.8m,1.92
Mount,Man Utd,M,1.91,1.72,1.87,2.2,1.55,1.86,11.11,6m,1.85
Barry,Everton,F,2.13,1.49,1.97,1.91,1.6,1.97,11.07,5.9m,1.88
Wharton,Crystal Palace,M,0,2.07,2.13,2.17,2.35,2.19,10.92,5m,2.18
Kulusevski,Tottenham,M,0,0,1.13,2.43,3.77,3.3,10.63,6.4m,1.66
Mavropanos,West Ham,D,1.66,1.9,1.76,1.27,2.08,1.87,10.54,4.4m,2.39
Ruben,Man City,D,2.01,1.19,2.21,1.71,1.88,1.43,10.42,5.5m,1.9
Yeremy,Crystal Palace,M,2.69,1.42,1.39,1.49,1.86,1.47,10.32,6m,1.72
Fer Lopez,Wolves,M,1.6,1.81,1.5,1.68,1.73,1.99,10.31,5.4m,1.91
Raul,Fulham,F,1.78,1.88,1.59,1.67,1.63,1.73,10.28,6.4m,1.61
Bellegarde,Wolves,M,1.59,1.79,1.5,1.67,1.7,1.97,10.22,5.4m,1.89
Szoboszlai,Liverpool,M,2.21,1.66,1.56,1.39,1.68,1.7,10.21,6.5m,1.57
Kamara,Aston Villa,M,1.41,1.74,1.77,1.86,1.67,1.69,10.15,4.9m,2.07
Gomez,Brighton,M,1.61,1.72,1.56,1.77,1.8,1.69,10.15,5m,2.03
Sangare,Nott'm Forest,M,1.8,1.8,1.82,1.58,1.5,1.45,9.95,5m,1.99
Lewis,Man City,D,2.01,1.1,2.14,1.61,1.72,1.3,9.89,5m,1.98
Broja,Burnley,F,1.42,1.74,1.46,1.61,1.89,1.76,9.87,5.4m,1.83
Hall,Newcastle,D,1.63,1.64,1.31,1.82,1.47,2,9.86,5.4m,1.83
Khusanov,Man City,D,1.9,1.14,2.03,1.6,1.76,1.37,9.8,5.4m,1.82
Bruun Larsen,Burnley,M,1.73,1.7,1.35,1.49,1.78,1.6,9.63,5.4m,1.78
Smith Rowe,Fulham,M,1.8,1.82,1.5,1.54,1.44,1.5,9.61,5.9m,1.63
Matheus N.,Man City,D,1.87,1.09,1.93,1.56,1.73,1.4,9.59,5.4m,1.78
White,Arsenal,D,0.54,1.46,1.51,2.1,1.86,2.11,9.59,5.4m,1.78
Fullkrug,West Ham,F,1.64,1.67,1.5,1.35,1.79,1.62,9.56,5.8m,1.65
Nmecha,Leeds,F,1.85,1.55,1.58,1.51,1.5,1.54,9.53,5m,1.91
Solanke,Tottenham,F,0.95,1.68,2,1.68,1.69,1.5,9.5,7.3m,1.3
Okafor,Leeds,M,0.95,1.55,1.65,1.63,1.76,1.87,9.41,5.5m,1.71
Kevin,Fulham,M,1.68,1.73,1.45,1.5,1.44,1.5,9.29,6m,1.55
Sessegnon,Fulham,M,1.71,1.73,1.43,1.47,1.39,1.43,9.16,5.4m,1.7
Chukwueze,Fulham,M,1.65,1.69,1.43,1.47,1.42,1.47,9.13,5.5m,1.66
Kolo Muani,Tottenham,F,1.7,1.45,1.76,1.45,1.46,1.28,9.1,7m,1.3
Tanaka,Leeds,M,0.59,1.6,1.66,1.66,1.75,1.83,9.08,4.9m,1.85
Gruev,Leeds,M,1.89,1.5,1.48,1.42,1.36,1.36,9,5m,1.8
Dalot,Man Utd,D,0.59,1.45,1.64,2.18,1.09,1.76,8.71,4.5m,1.94
Fofana,Chelsea,D,0.77,1.24,1.61,1.31,1.62,2.13,8.69,4.4m,1.97
Doherty,Wolves,D,1.08,1.51,1.02,1.31,1.48,1.81,8.2,4.5m,1.82
Woltemade,Newcastle,F,1.83,1.27,0.94,1.23,1.2,1.46,7.92,7m,1.13
Hinshelwood,Brighton,M,1.27,1.37,1.16,1.4,1.4,1.27,7.88,5.3m,1.49
Adingra,Sunderland,M,1.58,1.19,1.16,1.16,1.53,1.21,7.84,5.5m,1.43
Esse,Crystal Palace,M,2.17,1.03,0.99,1.02,1.16,0.95,7.31,4.9m,1.49
Gittens,Chelsea,M,1.69,0.92,1.13,1.03,1.12,1.4,7.3,6.3m,1.16
Mayenda,Sunderland,F,1.62,1.18,1.1,1.05,1.31,1,7.25,5.5m,1.32
Sancho,Aston Villa,M,1.12,1.19,1.23,1.37,1.08,1.08,7.07,5.9m,1.2
McAtee,Nott'm Forest,M,1.09,1.31,1.41,1.09,1.07,1.08,7.05,5.5m,1.28
Igor,West Ham,D,1.12,1.3,1.17,0.76,1.37,1.2,6.93,4.5m,1.54
Sonne,Burnley,D,1.08,1.43,0.75,1.02,1.42,1.2,6.89,4m,1.72
Nelson,Brentford,M,1.29,1.1,1.15,1.06,1.16,1.08,6.84,4.9m,1.4
Martinelli,Arsenal,M,1.82,0.94,0.92,1.12,0.95,1.02,6.77,6.9m,0.98
Aaronson,Leeds,M,1.22,0.99,1.06,1.07,1.18,1.25,6.77,5.4m,1.25
Wilson,West Ham,F,1.12,1.17,1.02,0.9,1.33,1.18,6.72,5.9m,1.14
Mukiele,Sunderland,D,1.61,1.26,1.07,0.84,1.24,0.69,6.71,4m,1.68
Scott,Bournemouth,M,1.54,1.09,1.06,1.08,0.94,0.99,6.69,5m,1.34
Pau,Aston Villa,D,1.05,1.16,1.19,1.42,0.9,0.92,6.64,4.5m,1.48
H.Bueno,Wolves,D,0.81,1.16,0.78,1.02,1.19,1.46,6.42,4.5m,1.43
Roberts,Burnley,D,0,1.45,0.77,1.09,1.65,1.43,6.38,4.4m,1.45
Hill,Bournemouth,D,1.41,0.96,0.99,1.07,0.89,1.02,6.33,4m,1.58
Trossard,Arsenal,M,1.58,0.81,0.83,1.06,0.97,1.08,6.32,6.9m,0.92
Malen,Aston Villa,M,1.01,1.08,1.11,1.25,0.92,0.92,6.28,5.3m,1.18
S.Bueno,Wolves,D,0.87,1.15,0.8,0.99,1.11,1.29,6.22,4.5m,1.38
Bergvall,Tottenham,M,1.13,1.01,1.11,0.97,0.95,0.91,6.08,5.4m,1.13
Piroe,Leeds,F,1.11,0.86,0.91,0.9,0.95,1,5.72,5.4m,1.06
Udogie,Tottenham,D,0.41,0.92,1.3,1.02,0.99,0.95,5.59,4.4m,1.27
Guessand,Aston Villa,M,0.78,0.86,0.91,1.06,0.83,0.84,5.28,6.4m,0.83
Robertson,Liverpool,D,1.13,0.83,0.75,0.63,0.9,0.97,5.21,5.9m,0.88
Zirkzee,Man Utd,F,0.99,0.77,0.84,0.95,0.69,0.79,5.03,5.9m,0.85
Trafford,Man City,GK,0.72,0.63,0.94,0.81,0.94,0.81,4.85,5m,0.97
Henry,Brentford,D,0.89,0.79,0.81,0.69,0.93,0.71,4.82,4.5m,1.07
Mazraoui,Man Utd,D,0.7,0.7,0.8,1.05,0.58,0.88,4.71,4.9m,0.96
Marc Guiu,Chelsea,F,1.27,0.64,0.73,0.65,0.64,0.74,4.68,4.4m,1.06
L.Miley,Newcastle,M,1.29,0.86,0.6,0.66,0.57,0.62,4.6,4.5m,1.02
Mundle,Sunderland,M,0,0.87,0.85,0.85,1.13,0.88,4.57,4.9m,0.93
N.Gonzalez,Man City,M,0.93,0.58,0.8,0.71,0.74,0.68,4.44,6m,0.74
Lewis-Skelly,Arsenal,D,1.01,0.48,0.53,0.77,0.76,0.89,4.44,5.4m,0.82
Edwards,Burnley,M,0.8,0.73,0.61,0.68,0.83,0.77,4.42,4.9m,0.9
Isidor,Sunderland,F,1.07,0.68,0.64,0.63,0.79,0.61,4.42,5.5m,0.8
Adli,Bournemouth,M,1.06,0.67,0.67,0.7,0.61,0.68,4.39,5.5m,0.8
Carvalho,Brentford,M,0.87,0.7,0.73,0.68,0.73,0.69,4.39,4.9m,0.9
F.Kadioglu,Brighton,D,0.72,0.79,0.6,0.85,0.79,0.63,4.38,4.4m,0.99
Mosquera,Wolves,D,0.58,0.78,0.55,0.69,0.8,0.96,4.35,4.4m,0.99
C.Jones,Liverpool,M,0.92,0.65,0.62,0.57,0.69,0.71,4.16,5.4m,0.77
Veltman,Brighton,D,0.68,0.74,0.57,0.8,0.74,0.59,4.12,4.4m,0.94
Cherki,Man City,M,0,0,0,0.46,1.72,1.88,4.06,6.5m,0.62
Zinchenko,Nott'm Forest,D,0.15,0.91,1.02,0.62,0.67,0.66,4.02,4.9m,0.82
Todibo,West Ham,D,0.65,0.74,0.68,0.48,0.77,0.69,4.02,4.4m,0.91
Danso,Tottenham,D,0.8,0.61,0.8,0.63,0.59,0.57,4,4.4m,0.91
Jensen,Brentford,M,0.8,0.63,0.65,0.62,0.65,0.62,3.97,4.9m,0.81
Wan-Bissaka,West Ham,D,0.57,0.68,0.63,0.45,0.82,0.74,3.89,4.4m,0.89
A.Jimenez,Bournemouth,D,0.91,0.57,0.59,0.64,0.52,0.6,3.83,4.5m,0.85
Alcaraz,Everton,M,0.88,0.5,0.65,0.63,0.53,0.63,3.82,5.4m,0.71
Maguire,Man Utd,D,0.57,0.56,0.65,0.86,0.47,0.72,3.82,4.5m,0.85
McNeil,Everton,M,0.92,0.51,0.65,0.62,0.51,0.6,3.81,5.8m,0.66
Ugarte,Man Utd,M,0.71,0.54,0.59,0.69,0.6,0.66,3.78,4.9m,0.77
Hincapie,Arsenal,D,1.07,0.46,0.47,0.63,0.54,0.6,3.77,5.5m,0.69
Tel,Tottenham,M,0.58,0.53,0.7,0.61,0.69,0.64,3.76,6.3m,0.6
Harrison,Leeds,M,0.7,0.52,0.57,0.59,0.67,0.72,3.75,5.4m,0.69
Tuanzebe,Burnley,D,0.14,0.78,0.45,0.62,0.9,0.8,3.69,3.9m,0.94
Milambo,Brentford,M,0.65,0.52,0.55,0.53,0.58,0.56,3.37,5.4m,0.62
Merino,Arsenal,M,0.84,0.4,0.43,0.55,0.53,0.59,3.34,5.9m,0.57
Buendia,Aston Villa,M,0.55,0.57,0.57,0.63,0.5,0.5,3.32,5.3m,0.63
Hutchinson,Nott'm Forest,M,0.51,0.6,0.65,0.51,0.51,0.52,3.31,5.5m,0.6
Iroegbunam,Everton,M,0.69,0.43,0.52,0.53,0.53,0.58,3.28,5m,0.66
J.Cuenca,Fulham,D,0.67,0.64,0.49,0.5,0.47,0.46,3.22,4.5m,0.71
