"season_name","total_points","rank","id"
"2020/21",1961,2997743,"4580261"
"2021/22",1950,3271797,"4580261"
"2022/23",1825,7278681,"4580261"
"2023/24",1681,8451528,"4580261"
"2024/25",1954,5984409,"4580261"
"2013/14",2082,712840,"645239"
"2014/15",1607,2074084,"645239"
"2015/16",2015,565803,"645239"
"2016/17",1732,2284978,"645239"
"2017/18",1771,3036350,"645239"
"2018/19",1602,5154399,"645239"
"2019/20",1996,1938081,"645239"
"2020/21",1799,4503539,"645239"
"2021/22",2046,2373880,"645239"
"2022/23",2003,5209118,"645239"
"2023/24",1773,7528444,"645239"
"2024/25",1748,8022978,"645239"
"2008/09",1730,444658,"603883"
"2009/10",1781,1049549,"603883"
"2010/11",1822,545322,"603883"
"2011/12",1637,1505328,"603883"
"2012/13",1934,418441,"603883"
"2013/14",1864,1527749,"603883"
"2014/15",1900,586414,"603883"
"2015/16",2049,406671,"603883"
"2016/17",2149,134596,"603883"
"2017/18",1899,2024940,"603883"
"2018/19",1998,1906519,"603883"
"2019/20",1855,3632691,"603883"
"2020/21",1857,3989902,"603883"
"2021/22",2107,1866170,"603883"
"2022/23",1882,6655051,"603883"
"2023/24",1861,6479820,"603883"
"2024/25",2043,5009359,"603883"
"2014/15",1493,2586747,"6755929"
"2015/16",1581,2640688,"6755929"
"2016/17",1860,1423456,"6755929"
"2017/18",1539,4574574,"6755929"
"2018/19",1932,2713380,"6755929"
"2019/20",1621,5880667,"6755929"
"2020/21",1896,3624486,"6755929"
"2021/22",2043,2403624,"6755929"
"2022/23",1817,7362529,"6755929"
"2023/24",1609,8991240,"6755929"
"2024/25",1632,9059335,"6755929"
"2018/19",1929,2751830,"610154"
"2019/20",1913,2924848,"610154"
"2020/21",1907,3520843,"610154"
"2021/22",1907,3701999,"610154"
"2022/23",1749,8035416,"610154"
"2023/24",1980,5031187,"610154"
"2024/25",1834,7169078,"610154"
"2013/14",1722,1958144,"20972"
"2014/15",1632,1953710,"20972"
"2015/16",1449,3068069,"20972"
"2016/17",1656,2761081,"20972"
"2017/18",1799,2820079,"20972"
"2018/19",1700,4728401,"20972"
"2019/20",1856,3618420,"20972"
"2020/21",1837,4168576,"20972"
"2021/22",1903,3737839,"20972"
"2022/23",1948,5882363,"20972"
"2023/24",2059,4057491,"20972"
"2024/25",1961,5907428,"20972"
"2023/24",1770,7554960,"5016915"
"2024/25",1754,7962122,"5016915"
"2013/14",1766,1828879,"644423"
"2014/15",1829,954264,"644423"
"2015/16",1792,1826284,"644423"
"2016/17",2193,74441,"644423"
"2017/18",2080,601320,"644423"
"2018/19",1930,2739205,"644423"
"2019/20",1898,3105466,"644423"
"2020/21",2056,2090208,"644423"
"2021/22",1849,4297865,"644423"
"2022/23",1695,8512482,"644423"
"2023/24",1972,5128057,"644423"
"2024/25",2338,1087910,"644423"
