"player_id","player_name","position","team","current_owner","free_hit_flag","cost","status","chance_of_playing_this_round","chance_of_playing_next_round","form_starts","form_minutes","form_total_points","form_goals_scored","form_assists","form_goals_conceded","form_bps","form_influence","form_creativity","form_threat","form_ict_index","form_expected_goals","form_expected_assists","form_expected_goal_involvements","form_expected_goals_conceded","results_team_played","results_team_goals_scored","results_team_goals_conceded","results_team_points","results_team_strength","results_team_attack","results_team_defense","results_opposition_strength","results_opposition_attack","results_opposition_defense","fixtures_team_fixtures","fixtures_team_strength","fixtures_team_attack","fixtures_team_defense","fixtures_opposition_strength","fixtures_opposition_attack","fixtures_opposition_defense","total_starts","total_minutes","total_points","total_goals_scored","total_expected_goals","total_assists","total_expected_assists","total_goals_conceded","total_expected_goals_conceded","total_bps","total_ict_index"
710,"Odysseas","GKP","Nott'm Forest","Free Agent","-",4.5,"available",1,1,,,,,,,,,,,,,,,,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,5,450,12,0,0,0,0.01,12,7.48,79,11.2
28,"Turner","GKP","Nott'm Forest","Free Agent","-",3.9,"available",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,15,1350,40,0,0,0,0,23,22.91,257,34.6
604,"Aina","DEF","Nott'm Forest","Free Agent","-",4.5,"injured",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,12,987,34,1,0.17,1,0.43,24,18.5,162,28.8
436,"Aurier","DEF","Nott'm Forest","Free Agent","-",4.5,"injured",0.25,0,1,136,3,0,0,4,11,4.33333333333333,5.36666666666667,7.66666666666667,1.76666666666667,0.09,0.123333333333333,0.213333333333333,1,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,10,831,27,0,0.16,2,0.45,15,13.94,137,31.8
438,"Biancone","DEF","Nott'm Forest","Free Agent","-",3.9,"unavailable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,0,0,0,0,0,0,0,0,0,0,0
439,"Boly","DEF","Nott'm Forest","Free Agent","-",4.5,"injured",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,13,994,37,1,1.33,0,0.66,18,19.64,192,53.9
441,"Cook","DEF","Nott'm Forest","Free Agent","-",4.5,"unavailable",0,0,1,67,3,0,0,0,9,1.93333333333333,0.333333333333333,0,0.2,0,0.00666666666666667,0.00666666666666667,0.243333333333333,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,0,0,0,0,0,0,0,0,0,0,0
444,"DrÃ¤ger","DEF","Nott'm Forest","Free Agent","-",4,"unavailable",0,0,1,108,3,0,0,3,23,6.86666666666667,13.7666666666667,0,2.06666666666667,0,0.03,0.03,0.456666666666667,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,0,0,0,0,0,0,0,0,0,0,0
445,"Felipe","DEF","Nott'm Forest","Free Agent","-",4.4,"doubtful",0.25,0.25,1,99,9,1,0,3,34,17.2,1.36666666666667,12,3.03333333333333,0.04,0.0133333333333333,0.0533333333333333,0.78,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,1,132,1,0,0.11,0,0,5,2.46,25,4.9
679,"G.Montiel","DEF","Nott'm Forest","Free Agent","-",4.4,"available",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,3,308,15,0,0.09,1,0.18,2,3.68,71,13.7
