"name","time","event","id"
"wildcard","2021-10-15T09:26:42.567451Z",8,"36150"
"freehit","2021-12-26T13:09:57.612021Z",19,"36150"
"wildcard","2022-02-25T14:48:31.723167Z",27,"36150"
"freehit","2022-03-12T07:22:57.044847Z",29,"36150"
"3xc","2022-05-13T12:00:07.932959Z",37,"36150"
"bboost","2022-05-22T08:57:58.602132Z",38,"36150"
"wildcard","2021-08-16T11:12:27.245461Z",2,"16280"
"freehit","2021-12-26T13:08:57.597741Z",19,"16280"
"wildcard","2022-01-14T13:13:43.368446Z",22,"16280"
"freehit","2022-04-23T06:45:47.675362Z",34,"16280"
"3xc","2022-05-20T07:19:10.510553Z",38,"16280"
"wildcard","2021-11-26T22:20:10.232453Z",13,"3803304"
"freehit","2021-12-26T12:09:02.730297Z",19,"3803304"
"freehit","2022-03-18T10:44:30.567327Z",30,"3803304"
"3xc","2022-05-14T20:03:26.934638Z",37,"3803304"
"bboost","2022-05-21T11:16:28.210812Z",38,"3803304"
"wildcard","2021-12-28T12:24:12.251012Z",20,"3824633"
"freehit","2022-02-10T22:24:51.932539Z",25,"3824633"
"wildcard","2022-04-08T08:04:53.770819Z",32,"3824633"
"freehit","2022-04-11T09:27:51.939704Z",33,"3824633"
"bboost","2022-05-13T11:29:10.130670Z",37,"3824633"
"3xc","2022-05-20T18:57:16.454030Z",38,"3824633"
"wildcard","2021-12-17T18:51:24.595213Z",18,"2347381"
"freehit","2022-02-25T17:56:46.139159Z",27,"2347381"
"freehit","2022-03-18T18:28:18.590135Z",30,"2347381"
"bboost","2022-05-06T20:48:22.331245Z",36,"2347381"
"wildcard","2022-05-14T21:58:15.451693Z",37,"2347381"
"3xc","2022-05-19T21:15:25.663760Z",38,"2347381"
"wildcard","2021-11-17T15:45:41.495410Z",12,"3823441"
"freehit","2021-12-28T12:38:23.410858Z",20,"3823441"
"freehit","2022-03-03T23:40:35.453729Z",28,"3823441"
"bboost","2022-05-07T10:05:23.248110Z",36,"3823441"
"3xc","2022-05-13T13:16:34.128561Z",37,"3823441"
"wildcard","2022-05-20T14:16:30.645038Z",38,"3823441"
"freehit","2021-12-18T10:39:38.824044Z",18,"3802409"
"freehit","2022-04-28T20:29:23.644469Z",35,"3802409"
"wildcard","2022-05-04T19:48:54.937379Z",36,"3802409"
"bboost","2022-05-13T11:10:42.414631Z",37,"3802409"
"3xc","2022-05-15T20:35:57.913516Z",38,"3802409"
"wildcard","2021-11-04T20:45:56.971765Z",11,"3801379"
"freehit","2022-02-23T08:20:41.733854Z",27,"3801379"
"wildcard","2022-03-02T17:26:55.622208Z",28,"3801379"
"bboost","2022-05-07T07:34:34.185535Z",36,"3801379"
"3xc","2022-05-11T21:17:52.908875Z",37,"3801379"
"wildcard","2021-09-29T05:36:04.744219Z",7,"72693"
"freehit","2021-12-26T13:15:25.040468Z",19,"72693"
"3xc","2022-02-19T07:07:33.364221Z",26,"72693"
"freehit","2022-02-25T17:44:49.008626Z",27,"72693"
"wildcard","2022-03-05T10:20:04.903936Z",28,"72693"
"bboost","2022-05-22T11:58:34.942581Z",38,"72693"
