"season_name","total_points","rank","id"
"2020/21",1961,2997743,"36150"
"2021/22",1950,3271797,"36150"
"2008/09",1730,444658,"16280"
"2009/10",1781,1049549,"16280"
"2010/11",1822,545322,"16280"
"2011/12",1637,1505328,"16280"
"2012/13",1934,418441,"16280"
"2013/14",1864,1527749,"16280"
"2014/15",1900,586414,"16280"
"2015/16",2049,406671,"16280"
"2016/17",2149,134596,"16280"
"2017/18",1899,2024940,"16280"
"2018/19",1998,1906519,"16280"
"2019/20",1855,3632691,"16280"
"2020/21",1857,3989902,"16280"
"2021/22",2107,1866170,"16280"
"2014/15",1493,2586747,"3803304"
"2015/16",1581,2640688,"3803304"
"2016/17",1860,1423456,"3803304"
"2017/18",1539,4574574,"3803304"
"2018/19",1932,2713380,"3803304"
"2019/20",1621,5880667,"3803304"
"2020/21",1896,3624486,"3803304"
"2021/22",2043,2403624,"3803304"
"2013/14",1766,1828879,"3824633"
"2014/15",1829,954264,"3824633"
"2015/16",1792,1826284,"3824633"
"2016/17",2193,74441,"3824633"
"2017/18",2080,601320,"3824633"
"2018/19",1930,2739205,"3824633"
"2019/20",1898,3105466,"3824633"
"2020/21",2056,2090208,"3824633"
"2021/22",1849,4297865,"3824633"
"2013/14",1722,1958144,"2347381"
"2014/15",1632,1953710,"2347381"
"2015/16",1449,3068069,"2347381"
"2016/17",1656,2761081,"2347381"
"2017/18",1799,2820079,"2347381"
"2018/19",1700,4728401,"2347381"
"2019/20",1856,3618420,"2347381"
"2020/21",1837,4168576,"2347381"
"2021/22",1903,3737839,"2347381"
"2018/19",1929,2751830,"3823441"
"2019/20",1913,2924848,"3823441"
"2020/21",1907,3520843,"3823441"
"2021/22",1907,3701999,"3823441"
"2013/14",2082,712840,"3802409"
"2014/15",1607,2074084,"3802409"
"2015/16",2015,565803,"3802409"
"2016/17",1732,2284978,"3802409"
"2017/18",1771,3036350,"3802409"
"2018/19",1602,5154399,"3802409"
"2019/20",1996,1938081,"3802409"
"2020/21",1799,4503539,"3802409"
"2021/22",2046,2373880,"3802409"
"2007/08",2115,45991,"3801379"
"2008/09",1757,373570,"3801379"
"2009/10",2188,86877,"3801379"
"2010/11",1905,275764,"3801379"
"2011/12",1885,481501,"3801379"
"2012/13",1940,399836,"3801379"
"2013/14",2071,759359,"3801379"
"2014/15",1632,1954385,"3801379"
"2015/16",1712,2171148,"3801379"
"2016/17",1820,1693622,"3801379"
"2017/18",1925,1802965,"3801379"
"2018/19",2016,1688766,"3801379"
"2019/20",1946,2520861,"3801379"
"2020/21",1808,4423728,"3801379"
"2021/22",1706,5746358,"3801379"
"2008/09",1843,183769,"72693"
"2009/10",2265,32335,"72693"
"2010/11",1779,710140,"72693"
"2011/12",1976,214459,"72693"
"2012/13",2147,32377,"72693"
"2013/14",2024,946272,"72693"
"2014/15",2038,130700,"72693"
"2015/16",2193,48026,"72693"
"2016/17",2120,190993,"72693"
"2017/18",2238,61860,"72693"
"2018/19",2208,242611,"72693"
"2019/20",2178,396464,"72693"
"2020/21",2416,64037,"72693"
"2021/22",2388,341867,"72693"
