"event","points","total_points","rank","rank_sort","overall_rank","bank","value","event_transfers","event_transfers_cost","points_on_bench","id"
1,83,83,1892242,1892831,1892239,55,1000,0,0,14,"36150"
2,43,126,5962859,5962931,2969469,55,1000,0,0,6,"36150"
3,63,189,2029829,2030513,2425110,63,999,2,0,11,"36150"
4,39,228,7311236,7311277,3539265,63,999,0,0,8,"36150"
5,36,264,7530986,7531004,4440152,54,996,1,0,4,"36150"
6,24,288,8000265,8000279,5191227,68,997,1,0,9,"36150"
7,39,327,3812721,3813326,5013347,66,998,1,0,11,"36150"
8,49,376,4274820,4275145,4839938,36,999,0,0,6,"36150"
9,48,424,6159874,6159914,5081695,51,998,1,0,4,"36150"
10,37,461,5758166,5758399,5165849,51,995,1,0,1,"36150"
11,36,497,5997615,5997739,5242208,61,991,1,0,7,"36150"
12,56,553,4604423,4604647,5152668,73,992,1,0,1,"36150"
13,30,583,7464786,7464829,5422079,18,990,1,0,8,"36150"
14,68,651,2408289,2408928,5142693,7,988,1,0,5,"36150"
15,33,684,7103539,7103675,5326882,7,989,0,0,5,"36150"
16,59,743,3807899,3808278,5173892,16,989,2,0,1,"36150"
17,41,784,5504089,5504228,5189491,12,990,1,0,3,"36150"
18,33,817,5494545,5494608,5212630,12,990,1,0,0,"36150"
19,62,879,470779,471132,4712954,12,992,0,0,-1,"36150"
20,25,904,7504212,7504320,4915009,12,992,1,0,3,"36150"
21,47,951,3607838,3607907,4837007,15,995,1,0,2,"36150"
22,84,1035,325159,325216,4223598,15,996,0,0,12,"36150"
23,29,1064,6596356,6596679,4316947,21,998,2,0,9,"36150"
24,51,1115,3965161,3965307,4256503,21,999,0,0,0,"36150"
25,81,1196,153856,154055,3683503,29,996,1,0,8,"36150"
26,45,1241,7970023,7970031,4269361,30,994,1,0,2,"36150"
27,51,1292,1807940,1808339,4091655,43,992,0,0,6,"36150"
28,27,1319,8874517,8874518,4628135,6,991,1,0,1,"36150"
29,110,1429,142906,142973,4090400,6,987,0,0,9,"36150"
30,27,1456,4010139,4010181,4067880,3,987,1,0,0,"36150"
31,67,1523,351800,351881,3786428,3,989,0,0,8,"36150"
32,26,1549,8490507,8490516,4064508,12,988,1,0,3,"36150"
33,49,1598,6657951,6658060,4249254,12,987,0,0,7,"36150"
34,33,1631,8270185,8270204,4445781,3,985,2,0,2,"36150"
35,52,1683,2346333,2346643,4352167,3,984,0,0,6,"36150"
36,104,1787,1487127,1487261,4032461,6,982,2,0,9,"36150"
37,106,1893,105825,105838,3318401,5,982,1,0,3,"36150"
38,61,1950,2631044,2631333,3271797,4,984,2,4,0,"36150"
1,55,55,4733843,4733867,4733835,0,1000,0,0,0,"16280"
2,58,113,3179212,3179352,4076970,31,1002,0,0,23,"16280"
3,58,171,3111689,3111928,3654167,32,1003,1,0,4,"16280"
4,42,213,7044466,7044482,4432985,54,1003,1,0,8,"16280"
5,45,258,6328377,6328412,4730656,39,1001,1,0,7,"16280"
6,49,307,2197557,2197806,4352771,39,1003,0,0,11,"16280"
7,42,349,2989264,2989606,4096112,14,1001,2,0,9,"16280"
8,58,407,2037141,2037447,3664040,19,1003,1,0,2,"16280"
9,56,459,5288907,5288950,4048086,46,1006,2,4,4,"16280"
10,53,512,1667908,1668190,3684229,43,1008,1,0,2,"16280"
11,44,556,3666308,3666380,3619137,43,1008,0,0,3,"16280"
12,50,606,5873870,5873913,3804590,55,1011,1,0,15,"16280"
13,41,647,5032272,5032345,3869243,55,1014,0,0,0,"16280"
14,64,711,3472943,3473053,3789532,58,1017,2,0,9,"16280"
15,61,772,497988,498076,3372492,58,1020,0,0,2,"16280"
16,54,826,4825477,4825522,3437043,65,1024,1,0,2,"16280"
17,36,862,6350893,6350917,3664766,65,1025,0,0,0,"16280"
18,39,901,4351148,4351181,3648389,62,1022,1,0,0,"16280"
19,49,950,1743892,1744004,3377149,62,1024,0,0,14,"16280"
20,30,976,6346266,6346352,3575056,86,1024,2,4,0,"16280"
21,40,1016,5359051,5359073,3692459,88,1026,1,0,2,"16280"
22,48,1064,4944187,4944284,3712323,68,1025,0,0,0,"16280"
23,42,1106,2133136,2133293,3579212,49,1025,1,0,0,"16280"
24,57,1163,3210268,3210395,3473991,66,1028,1,0,1,"16280"
25,32,1195,7708579,7708584,3699681,67,1028,1,0,9,"16280"
26,67,1262,5793870,5793882,3963605,67,1025,0,0,5,"16280"
27,47,1309,2751709,2751867,3848487,60,1026,2,0,0,"16280"
28,73,1378,3534428,3534491,3819720,68,1024,2,4,4,"16280"
29,68,1446,5513709,5513733,3868515,72,1025,1,0,9,"16280"
30,43,1489,2284593,2284726,3657071,72,1024,0,0,0,"16280"
31,68,1557,306307,306336,3376107,72,1024,0,0,7,"16280"
32,101,1658,11567,11568,2797817,72,1024,0,0,10,"16280"
33,50,1708,6616705,6616741,2978091,93,1022,1,0,3,"16280"
34,73,1781,724059,724150,2732103,93,1024,0,0,2,"16280"
35,70,1851,413355,413406,2465286,93,1024,0,0,15,"16280"
36,120,1971,691419,691452,2114183,26,1026,1,0,25,"16280"
37,61,2032,1726417,1726474,1988260,27,1026,2,0,17,"16280"
38,75,2107,898893,899043,1866170,21,1027,1,0,1,"16280"
1,87,87,1484181,1542239,1484178,5,1000,0,0,0,"3803304"
2,33,116,7064642,7067041,3893287,1,1002,2,4,0,"3803304"
3,68,184,1009652,1041326,2782938,1,1000,1,0,6,"3803304"
4,53,237,4941401,4984379,2992000,1,998,0,0,0,"3803304"
5,70,307,1043233,1055510,2252046,21,997,2,0,0,"3803304"
6,49,356,2311662,2355693,2049830,24,996,1,0,0,"3803304"
7,54,410,634260,646963,1543833,19,995,1,0,0,"3803304"
8,74,484,149219,151970,917352,23,998,1,0,0,"3803304"
9,82,566,2143488,2162350,885376,27,999,1,0,-2,"3803304"
10,44,610,3776174,3810918,890480,26,1000,1,0,0,"3803304"
11,39,649,5194149,5225237,1096537,30,1001,1,0,0,"3803304"
12,54,703,5041051,5066369,1290304,16,1001,1,0,1,"3803304"
13,51,754,2508363,2547375,1223838,25,1001,0,0,0,"3803304"
14,55,809,5655479,5676654,1436957,46,1002,1,0,9,"3803304"
15,52,861,1762033,1807024,1317180,46,999,0,0,2,"3803304"
16,63,924,2984640,3010454,1300895,56,1002,2,0,11,"3803304"
17,54,978,2536187,2568958,1270814,49,1003,1,0,0,"3803304"
18,39,1017,4351148,4366003,1385434,60,1004,1,0,0,"3803304"
19,46,1063,2214537,2254029,1292915,60,1004,0,0,25,"3803304"
20,32,1095,5753162,5776918,1368822,67,1005,1,0,0,"3803304"
21,34,1129,6799188,6806555,1674408,59,1007,1,0,1,"3803304"
22,60,1189,2562963,2573579,1584247,34,1004,1,0,7,"3803304"
23,67,1256,23629,24000,1159463,40,1005,1,0,7,"3803304"
24,41,1297,5686030,5692247,1420190,34,1006,1,0,9,"3803304"
25,46,1343,4787814,4802764,1489385,18,1008,1,0,0,"3803304"
26,92,1435,3804311,3809295,1607661,23,1011,1,0,2,"3803304"
27,32,1467,6646793,6657597,1729974,21,1011,1,0,0,"3803304"
28,81,1548,2539920,2548339,1673669,5,1009,1,0,2,"3803304"
29,72,1620,4630530,4674635,1749424,5,1009,0,0,1,"3803304"
30,72,1692,305761,329367,1438089,5,1011,0,0,0,"3803304"
31,36,1728,6608289,6622966,1536707,24,1009,1,0,2,"3803304"
32,39,1767,6228052,6287466,1682595,24,1009,0,0,3,"3803304"
33,80,1847,1596797,1607221,1554221,19,1007,2,0,5,"3803304"
