"element","position","multiplier","is_captain","is_vice_captain","id","gameweek"
257,1,1,FALSE,FALSE,"36150",1
275,2,1,FALSE,FALSE,"36150",1
39,3,1,FALSE,FALSE,"36150",1
207,4,1,FALSE,FALSE,"36150",1
110,5,1,FALSE,FALSE,"36150",1
277,6,2,TRUE,FALSE,"36150",1
422,7,1,FALSE,FALSE,"36150",1
64,8,1,FALSE,FALSE,"36150",1
212,9,1,FALSE,FALSE,"36150",1
187,10,1,FALSE,FALSE,"36150",1
413,11,1,FALSE,TRUE,"36150",1
69,12,0,FALSE,FALSE,"36150",1
40,13,0,FALSE,FALSE,"36150",1
188,14,0,FALSE,FALSE,"36150",1
370,15,0,FALSE,FALSE,"36150",1
257,1,1,FALSE,FALSE,"36150",2
275,2,1,FALSE,FALSE,"36150",2
370,3,1,FALSE,FALSE,"36150",2
207,4,1,FALSE,FALSE,"36150",2
110,5,1,FALSE,FALSE,"36150",2
212,6,1,FALSE,FALSE,"36150",2
277,7,2,TRUE,FALSE,"36150",2
422,8,1,FALSE,FALSE,"36150",2
64,9,1,FALSE,FALSE,"36150",2
188,10,1,FALSE,FALSE,"36150",2
413,11,1,FALSE,TRUE,"36150",2
69,12,0,FALSE,FALSE,"36150",2
39,13,0,FALSE,FALSE,"36150",2
40,14,0,FALSE,FALSE,"36150",2
187,15,0,FALSE,FALSE,"36150",2
257,1,1,FALSE,FALSE,"36150",3
275,2,1,FALSE,FALSE,"36150",3
207,3,1,FALSE,FALSE,"36150",3
370,4,1,FALSE,FALSE,"36150",3
363,5,1,FALSE,FALSE,"36150",3
277,6,1,FALSE,TRUE,"36150",3
422,7,1,FALSE,FALSE,"36150",3
423,8,1,FALSE,FALSE,"36150",3
188,9,1,FALSE,FALSE,"36150",3
187,10,1,FALSE,FALSE,"36150",3
413,11,2,TRUE,FALSE,"36150",3
69,12,0,FALSE,FALSE,"36150",3
39,13,0,FALSE,FALSE,"36150",3
40,14,0,FALSE,FALSE,"36150",3
110,15,0,FALSE,FALSE,"36150",3
257,1,1,FALSE,FALSE,"36150",4
275,2,1,FALSE,FALSE,"36150",4
370,3,1,FALSE,FALSE,"36150",4
110,4,1,FALSE,FALSE,"36150",4
277,5,2,TRUE,FALSE,"36150",4
422,6,1,FALSE,FALSE,"36150",4
363,7,1,FALSE,FALSE,"36150",4
423,8,1,FALSE,FALSE,"36150",4
188,9,1,FALSE,FALSE,"36150",4
187,10,1,FALSE,FALSE,"36150",4
413,11,1,FALSE,TRUE,"36150",4
69,12,0,FALSE,FALSE,"36150",4
40,13,0,FALSE,FALSE,"36150",4
207,14,0,FALSE,FALSE,"36150",4
39,15,0,FALSE,FALSE,"36150",4
257,1,1,FALSE,TRUE,"36150",5
275,2,1,FALSE,FALSE,"36150",5
207,3,1,FALSE,FALSE,"36150",5
122,4,1,FALSE,FALSE,"36150",5
363,5,1,FALSE,FALSE,"36150",5
277,6,2,TRUE,FALSE,"36150",5
422,7,1,FALSE,FALSE,"36150",5
423,8,1,FALSE,FALSE,"36150",5
188,9,1,FALSE,FALSE,"36150",5
40,10,1,FALSE,FALSE,"36150",5
187,11,1,FALSE,FALSE,"36150",5
69,12,0,FALSE,FALSE,"36150",5
370,13,0,FALSE,FALSE,"36150",5
110,14,0,FALSE,FALSE,"36150",5
413,15,0,FALSE,FALSE,"36150",5
257,1,1,FALSE,FALSE,"36150",6
275,2,1,FALSE,FALSE,"36150",6
