"element_in","element_in_cost","element_out","element_out_cost","entry","event","time"
196,63,210,64,36150,38,"2022-05-22T10:18:39.725787Z"
113,44,491,42,36150,38,"2022-05-22T10:18:39.721822Z"
169,46,439,45,36150,37,"2022-05-13T11:51:56.593956Z"
345,66,40,75,36150,36,"2022-05-05T12:41:46.729455Z"
165,49,305,43,36150,36,"2022-05-05T12:41:46.721390Z"
210,64,51,47,36150,34,"2022-04-22T11:23:39.259081Z"
488,46,411,54,36150,34,"2022-04-22T11:23:39.252779Z"
305,43,370,52,36150,32,"2022-04-08T14:20:31.023894Z"
370,52,98,49,36150,30,"2022-03-18T14:27:04.186680Z"
357,124,413,75,36150,29,"2022-03-12T07:22:57.050305Z"
577,46,63,64,36150,29,"2022-03-12T07:22:57.050041Z"
6,83,40,75,36150,29,"2022-03-12T07:22:57.049763Z"
171,43,696,80,36150,29,"2022-03-12T07:22:57.049493Z"
503,45,277,116,36150,29,"2022-03-12T07:22:57.049228Z"
233,133,255,106,36150,29,"2022-03-12T07:22:57.048908Z"
22,66,212,66,36150,29,"2022-03-12T07:22:57.048636Z"
701,62,51,47,36150,29,"2022-03-12T07:22:57.048328Z"
425,39,491,43,36150,29,"2022-03-12T07:22:57.047908Z"
208,39,439,45,36150,29,"2022-03-12T07:22:57.047438Z"
360,48,411,53,36150,29,"2022-03-12T07:22:57.047170Z"
234,72,224,49,36150,29,"2022-03-12T07:22:57.046880Z"
237,85,98,49,36150,29,"2022-03-12T07:22:57.046613Z"
448,40,257,60,36150,29,"2022-03-12T07:22:57.046339Z"
559,51,69,45,36150,29,"2022-03-12T07:22:57.045994Z"
696,80,115,43,36150,28,"2022-03-04T17:24:56.394189Z"
115,43,232,54,36150,27,"2022-02-25T14:48:31.726348Z"
98,49,590,46,36150,27,"2022-02-25T14:48:31.726078Z"
411,53,370,51,36150,27,"2022-02-25T14:48:31.725786Z"
491,43,279,50,36150,27,"2022-02-25T14:48:31.725417Z"
232,54,266,55,36150,26,"2022-02-17T08:42:51.659751Z"
51,47,267,55,36150,25,"2022-02-11T12:55:49.999773Z"
267,55,422,57,36150,23,"2022-01-20T17:20:18.097943Z"
439,45,45,49,36150,23,"2022-01-20T17:20:18.093864Z"
422,57,423,60,36150,21,"2022-01-01T09:29:00.233701Z"
279,50,275,50,36150,20,"2021-12-28T12:23:30.812644Z"
568,45,413,76,36150,19,"2021-12-26T13:09:57.617038Z"
6,85,63,63,36150,19,"2021-12-26T13:09:57.616761Z"
579,125,40,77,36150,19,"2021-12-26T13:09:57.616485Z"
148,43,423,60,36150,19,"2021-12-26T13:09:57.616201Z"
50,45,277,116,36150,19,"2021-12-26T13:09:57.615944Z"
359,104,266,55,36150,19,"2021-12-26T13:09:57.615668Z"
26,54,255,106,36150,19,"2021-12-26T13:09:57.615380Z"
251,119,212,67,36150,19,"2021-12-26T13:09:57.615110Z"
142,63,590,47,36150,19,"2021-12-26T13:09:57.614823Z"
16,48,275,50,36150,19,"2021-12-26T13:09:57.614529Z"
208,38,224,49,36150,19,"2021-12-26T13:09:57.614221Z"
256,68,45,49,36150,19,"2021-12-26T13:09:57.613948Z"
270,51,257,60,36150,19,"2021-12-26T13:09:57.613630Z"
54,40,69,45,36150,19,"2021-12-26T13:09:57.613215Z"
45,49,169,49,36150,18,"2021-12-17T13:05:49.573791Z"
63,63,525,59,36150,17,"2021-12-13T17:03:00.483293Z"
266,55,210,64,36150,16,"2021-12-08T16:12:10.363717Z"
169,50,44,50,36150,16,"2021-12-08T16:12:10.359316Z"
212,66,81,55,36150,14,"2021-11-29T16:05:03.931169Z"
255,106,125,51,36150,13,"2021-11-23T11:32:36.101811Z"
525,59,455,71,36150,12,"2021-11-19T13:23:53.326237Z"
590,46,122,56,36150,11,"2021-11-03T09:11:41.785740Z"
81,55,173,55,36150,10,"2021-10-30T08:29:10.413087Z"
455,71,134,86,36150,9,"2021-10-22T11:02:31.808173Z"
134,86,187,63,36150,8,"2021-10-15T09:26:42.570601Z"
210,64,422,59,36150,8,"2021-10-15T09:26:42.570086Z"
224,50,207,55,36150,8,"2021-10-15T09:26:42.569585Z"
44,51,110,44,36150,8,"2021-10-15T09:26:42.568980Z"
173,56,188,54,36150,7,"2021-09-28T14:21:30.145404Z"
125,51,363,65,36150,6,"2021-09-21T13:37:31.862394Z"
122,57,39,48,36150,5,"2021-09-17T13:23:54.981226Z"
423,60,212,69,36150,3,"2021-08-24T12:37:10.859946Z"
363,65,64,64,36150,3,"2021-08-24T12:37:10.853290Z"
252,52,429,46,16280,38,"2022-05-21T16:56:05.625807Z"
447,59,450,56,16280,37,"2022-05-15T07:35:57.020862Z"
64,59,196,63,16280,37,"2022-05-15T07:35:57.014158Z"
251,119,96,52,16280,36,"2022-05-06T13:22:37.413463Z"
579,122,450,55,16280,34,"2022-04-23T06:45:47.680186Z"
134,87,180,74,16280,34,"2022-04-23T06:45:47.679913Z"
267,55,196,64,16280,34,"2022-04-23T06:45:47.679620Z"
701,64,96,52,16280,34,"2022-04-23T06:45:47.679304Z"
233,132,240,79,16280,34,"2022-04-23T06:45:47.679003Z"
138,77,359,105,16280,34,"2022-04-23T06:45:47.678694Z"
245,37,38,50,16280,34,"2022-04-23T06:45:47.678352Z"
256,71,23,52,16280,34,"2022-04-23T06:45:47.678008Z"
364,44,361,46,16280,34,"2022-04-23T06:45:47.677653Z"
572,39,80,43,16280,34,"2022-04-23T06:45:47.677094Z"
314,45,143,60,16280,34,"2022-04-23T06:45:47.676664Z"
96,52,131,73,16280,33,"2022-04-14T18:09:30.862199Z"
361,46,275,50,16280,29,"2022-03-12T08:59:54.727867Z"
315,58,455,71,16280,28,"2022-03-04T19:53:29.192288Z"
122,56,584,51,16280,28,"2022-03-04T19:53:29.185207Z"
131,73,43,62,16280,27,"2022-02-25T17:30:39.064093Z"
80,43,129,47,16280,27,"2022-02-25T17:30:39.057258Z"
275,50,288,51,16280,25,"2022-02-11T23:44:41.053135Z"
43,62,137,79,16280,24,"2022-02-08T17:07:47.767617Z"
455,71,518,52,16280,23,"2022-01-21T11:23:44.659315Z"
137,79,503,45,16280,22,"2022-01-14T14:20:52.677535Z"
180,74,315,58,16280,22,"2022-01-14T13:13:43.373830Z"
503,45,281,94,16280,22,"2022-01-14T13:13:43.373251Z"
288,51,245,37,16280,22,"2022-01-14T13:13:43.372615Z"
584,51,491,41,16280,22,"2022-01-14T12:59:06.031248Z"
429,46,431,51,16280,22,"2022-01-14T12:49:18.669148Z"
431,51,411,53,16280,21,"2022-01-01T08:19:09.287984Z"
518,52,307,66,16280,20,"2021-12-28T12:18:05.214207Z"
245,37,39,47,16280,20,"2021-12-28T12:18:05.206812Z"
69,46,295,44,16280,19,"2021-12-26T13:11:56.222783Z"
518,52,315,58,16280,19,"2021-12-26T13:08:57.604459Z"
595,45,450,56,16280,19,"2021-12-26T13:08:57.604107Z"
579,125,307,66,16280,19,"2021-12-26T13:08:57.603797Z"
138,77,281,94,16280,19,"2021-12-26T13:08:57.603314Z"
26,54,196,65,16280,19,"2021-12-26T13:08:57.602939Z"
251,119,240,78,16280,19,"2021-12-26T13:08:57.602628Z"
510,45,411,53,16280,19,"2021-12-26T13:08:57.602298Z"
424,43,39,47,16280,19,"2021-12-26T13:08:57.601873Z"
256,68,491,42,16280,19,"2021-12-26T13:08:57.601408Z"
122,57,38,50,16280,19,"2021-12-26T13:08:57.601094Z"
367,45,23,51,16280,19,"2021-12-26T13:08:57.600800Z"
295,44,143,61,16280,19,"2021-12-26T13:08:57.600421Z"
559,52,129,47,16280,19,"2021-12-26T13:08:57.599925Z"
