"event","points","total_points","rank","rank_sort","overall_rank","bank","value","event_transfers","event_transfers_cost","points_on_bench","id"
1,55,55,4586314,4616550,4586309,45,1000,0,0,3,"1106737"
2,69,124,1952537,1963868,2720889,50,999,1,0,7,"1106737"
3,42,166,6783717,6794200,3613372,50,1002,0,0,21,"1106737"
4,49,215,7845819,7849089,4916323,61,999,2,0,8,"1106737"
5,36,251,9373126,9375290,6405812,61,1000,0,0,4,"1106737"
6,37,288,7916011,7931132,6677325,39,999,1,0,11,"1106737"
7,0,288,1,563129,6621472,39,998,0,0,0,"1106737"
8,58,346,2858154,2863408,6145304,35,998,1,0,0,"1106737"
9,51,397,8587810,8590059,6633458,24,1000,1,0,5,"1106737"
10,54,451,6841303,6847179,6646590,26,1002,1,0,4,"1106737"
11,41,492,7488632,7496805,6796088,38,1003,2,0,3,"1106737"
12,28,520,8942400,8944372,7047408,40,1002,1,0,0,"1106737"
13,35,555,9638901,9643557,7379928,40,999,0,0,8,"1106737"
14,61,616,5018797,5031602,7224243,51,1000,1,0,20,"1106737"
15,36,652,9830918,9832204,7533805,51,1000,1,0,21,"1106737"
16,37,689,7359553,7373654,7604168,51,1000,0,0,2,"1106737"
17,34,723,10742544,10742550,8126386,51,999,1,0,4,"1106737"
18,34,757,9653902,9654242,8234255,39,996,2,0,2,"1106737"
19,46,803,6204616,6220416,8202457,39,992,0,0,1,"1106737"
20,55,858,7022827,7025772,8121375,44,989,2,0,13,"1106737"
21,37,895,10410112,10410194,8347804,39,988,1,0,1,"1106737"
22,32,927,7653456,7661137,8365133,89,984,0,0,7,"1106737"
23,64,991,6487758,6495239,8264476,67,984,1,0,5,"1106737"
24,31,1022,9514528,9522031,8379501,67,983,0,0,6,"1106737"
25,100,1122,1084831,1085858,8009201,66,979,1,0,2,"1106737"
26,35,1157,7765713,7772126,8134128,65,974,1,0,5,"1106737"
27,67,1224,4762937,4766437,7927829,67,974,1,0,10,"1106737"
28,75,1299,46489,47771,7314141,67,974,0,0,15,"1106737"
29,69,1368,7639137,7646619,7321106,67,974,0,0,5,"1106737"
30,65,1433,2366562,2376237,7183215,74,975,1,0,6,"1106737"
31,48,1481,8111538,8117776,7266284,72,981,1,0,2,"1106737"
32,24,1505,9713490,9713693,7395737,58,980,1,0,6,"1106737"
33,69,1574,2338688,2342340,7213775,76,980,2,0,2,"1106737"
34,42,1612,11150996,11151011,7640461,43,979,2,4,13,"1106737"
35,50,1662,1606719,1610678,7531039,45,976,1,0,5,"1106737"
36,62,1724,5903218,5905236,7462534,93,973,1,0,0,"1106737"
37,45,1765,7992190,7994086,7511359,110,973,2,4,3,"1106737"
38,60,1825,1115517,1119130,7278681,121,969,1,0,6,"1106737"
1,27,27,7730384,7734894,7730376,55,1000,0,0,0,"3015602"
2,23,50,8727671,8730483,8213704,55,998,0,0,0,"3015602"
3,40,90,7558016,7582825,8283392,59,987,2,0,0,"3015602"
4,45,135,8446140,8458787,8471700,56,983,1,0,0,"3015602"
5,36,171,9420870,9424110,8735529,56,983,1,0,1,"3015602"
6,44,215,4993993,5037200,8663697,54,982,0,0,8,"3015602"
7,0,215,1,1636069,8624709,54,983,0,0,0,"3015602"
8,45,260,6515986,6561538,8616013,54,982,0,0,0,"3015602"
9,28,288,10326227,10326782,9011403,54,981,1,0,4,"3015602"
10,38,326,9896863,9909728,9144821,54,980,0,0,2,"3015602"
11,34,360,9466896,9492018,9226920,54,979,0,0,2,"3015602"
12,35,395,6969297,6981539,9220457,53,978,1,0,6,"3015602"
13,47,442,7187094,7227514,9192941,53,979,0,0,3,"3015602"
14,43,485,9422994,9426222,9268890,30,976,2,0,6,"3015602"
15,25,510,10613217,10618077,9435300,30,977,0,0,2,"3015602"
16,38,548,7014184,7059517,9437967,30,977,0,0,1,"3015602"
17,65,613,7664131,7666198,9402527,67,977,1,0,11,"3015602"
18,42,655,7873190,7886367,9386835,60,978,1,0,4,"3015602"
19,50,705,4876969,4923614,9326203,60,979,0,0,19,"3015602"
20,64,769,4462195,4485351,9174703,58,979,2,0,7,"3015602"
21,54,823,8592615,8611572,9155214,58,981,0,0,1,"3015602"
22,68,891,2614492,2634643,8782421,62,983,1,0,8,"3015602"
23,53,944,8721217,8744829,8795687,62,984,0,0,7,"3015602"
24,76,1020,50090,52547,8401968,62,985,0,0,5,"3015602"
25,64,1084,7968393,7996370,8449651,62,985,0,0,0,"3015602"
26,26,1110,10102910,10132086,8650211,62,984,0,0,0,"3015602"
27,37,1147,10006160,10022943,8761753,62,982,0,0,0,"3015602"
28,63,1210,425810,437933,8368550,62,980,0,0,5,"3015602"
29,61,1271,8962181,8983737,8427065,62,977,0,0,2,"3015602"
30,47,1318,8345087,8390358,8469198,62,976,0,0,0,"3015602"
31,37,1355,10258248,10276507,8618430,62,972,0,0,2,"3015602"
32,33,1388,7943865,7946259,8600488,64,971,2,0,0,"3015602"
33,56,1444,5568612,5616980,8542205,64,971,0,0,7,"3015602"
34,60,1504,9961186,9961931,8666475,74,967,1,0,0,"3015602"
35,30,1534,9546289,9566167,8742397,85,967,1,0,8,"3015602"
36,39,1573,10421816,10436312,8847334,86,963,0,0,8,"3015602"
37,63,1636,2681485,2715581,8689563,86,964,0,0,3,"3015602"
38,41,1677,5311890,5323979,8660450,89,962,2,0,0,"3015602"
1,39,39,7086617,7094370,7086612,85,1000,0,0,3,"1177922"
2,48,87,6352766,6360391,6872192,85,1000,0,0,2,"1177922"
3,35,122,8564889,8569270,7264854,79,998,2,0,4,"1177922"
4,60,182,5236096,5247629,7123626,79,998,0,0,6,"1177922"
5,43,225,8674456,8678528,7534967,79,999,0,0,3,"1177922"
6,41,266,6208358,6225043,7532974,79,998,0,0,3,"1177922"
7,0,266,1,601451,7484540,79,998,0,0,0,"1177922"
8,40,306,8135337,8138532,7663122,84,999,1,0,0,"1177922"
9,33,339,10056952,10059117,8240770,84,998,0,0,29,"1177922"
10,71,410,1759513,1773842,7824059,84,996,0,0,8,"1177922"
11,61,471,820149,825181,7413171,76,996,1,0,18,"1177922"
12,74,545,15393,15450,6214771,97,997,1,0,18,"1177922"
13,38,583,9228808,9235438,6592394,97,1000,0,0,14,"1177922"
14,65,648,3836521,3849431,6336762,105,1004,1,0,4,"1177922"
15,58,706,3767658,3783507,6141706,109,1007,1,0,3,"1177922"
16,41,747,6142938,6161220,6168336,113,1006,1,0,3,"1177922"
17,68,815,6805635,6814034,6219566,113,1007,0,0,3,"1177922"
18,43,858,7341512,7356895,6302151,113,1010,0,0,10,"1177922"
19,55,913,3563249,3574279,6110901,101,1011,1,0,3,"1177922"
20,30,943,10698523,10698535,6671535,96,1012,1,0,6,"1177922"
21,67,1010,6133172,6140723,6570227,112,1011,1,0,21,"1177922"
22,43,1053,5680837,5687330,6481216,112,1010,0,0,18,"1177922"
23,72,1125,4460626,4466298,6312538,119,1011,2,0,16,"1177922"
24,44,1169,5747411,5767256,6267701,119,1012,0,0,13,"1177922"
25,65,1234,7779371,7788505,6413679,119,1011,0,0,0,"1177922"
26,37,1271,6889456,6910455,6542271,119,1013,0,0,22,"1177922"
27,61,1332,5797017,5806609,6452680,119,1011,0,0,7,"1177922"
28,66,1398,262655,266962,5879658,119,1012,0,0,10,"1177922"
29,82,1480,5147795,5157587,5777321,119,1013,0,0,7,"1177922"
30,42,1522,9742519,9746239,5986872,102,1013,1,0,0,"1177922"
31,49,1571,7848907,7853793,6078004,80,1014,2,0,3,"1177922"
32,55,1626,2676595,2689375,5864199,80,1016,0,0,2,"1177922"
33,38,1664,9669021,9676854,6110281,80,1016,0,0,15,"1177922"
34,62,1726,9567356,9574531,6322027,80,1014,0,0,1,"1177922"
35,43,1769,3501351,3526651,6277530,80,1012,0,0,4,"1177922"
36,70,1839,4145409,4148692,6146720,73,1010,2,0,8,"1177922"
37,56,1895,4568205,4583249,6064011,73,1008,0,0,0,"1177922"
38,53,1948,2218353,2223398,5882363,60,1009,1,0,-1,"1177922"
1,51,51,5378191,5381408,5378186,25,1000,0,0,5,"191239"
2,51,102,5803575,5804722,5640506,25,999,0,0,5,"191239"
3,53,155,3093660,3095588,4941741,39,995,1,0,3,"191239"
4,81,236,1134443,1134936,2807574,28,991,2,0,2,"191239"
5,65,301,4692710,4693934,2976463,33,992,1,0,11,"191239"
6,56,357,1475830,1476801,2220830,33,996,0,0,7,"191239"
7,0,357,1,95469,2185737,33,996,0,0,0,"191239"
8,64,421,1394649,1397591,1476581,33,994,0,0,9,"191239"
9,83,504,2227682,2229230,1249797,36,996,1,0,2,"191239"
10,48,552,8336540,8337087,1970172,36,996,1,0,3,"191239"
11,59,611,1023543,1024487,1408386,76,996,0,0,11,"191239"
12,19,630,10322776,10322802,2429253,86,998,1,0,8,"191239"
13,63,693,1671688,1673133,2104633,86,998,0,0,0,"191239"
14,33,726,10362139,10362161,3406651,100,999,2,0,2,"191239"
15,46,772,7851177,7852417,3763827,99,997,1,0,5,"191239"
16,25,797,10282092,10282299,4489022,96,1000,1,0,6,"191239"
17,71,868,6241665,6241806,4635130,111,999,4,0,9,"191239"
18,37,905,8910652,8911359,5029327,111,998,0,0,8,"191239"
19,42,947,7538716,7540483,5229527,111,997,0,0,8,"191239"
20,66,1013,3855214,3857335,5050696,93,996,2,0,12,"191239"
21,61,1074,7412307,7413278,5214506,116,993,0,0,10,"191239"
22,34,1108,7419826,7419929,5429146,108,995,1,0,11,"191239"
23,45,1153,10015079,10015101,5822026,80,995,1,0,9,"191239"
24,19,1172,11032323,11032327,6219785,78,994,1,0,4,"191239"
25,73,1245,6105117,6106110,6236435,78,993,0,0,16,"191239"
26,35,1280,7810275,7810777,6397421,83,992,2,0,11,"191239"
27,51,1327,7881271,7881405,6532101,96,991,2,4,5,"191239"
28,23,1350,7989506,7989670,6608477,117,989,1,0,0,"191239"
29,73,1423,7060249,7060423,6595859,122,986,1,0,6,"191239"
30,48,1471,8278927,8280408,6692986,115,985,1,0,6,"191239"
31,56,1523,5490414,5491603,6735179,122,985,2,4,6,"191239"
32,30,1545,8591125,8591150,6920346,138,983,3,8,0,"191239"
33,49,1594,7585813,7586661,6980656,145,986,1,0,12,"191239"
34,89,1683,4035269,4035686,6845746,153,983,1,0,7,"191239"
35,30,1713,9546289,9547988,6959358,135,983,1,0,5,"191239"
36,56,1765,7407695,7407782,7017396,74,982,2,4,0,"191239"
37,77,1842,495101,496010,6680495,79,982,1,0,4,"191239"
38,40,1882,5588921,5590253,6655051,91,980,1,0,0,"191239"
1,23,23,7779537,7781255,7779528,20,1000,0,0,3,"3014705"
2,40,59,7624979,7628040,7981836,20,998,2,4,16,"3014705"
3,68,127,367738,373466,7052470,5,991,1,0,2,"3014705"
4,57,184,5989121,6017820,7038028,5,990,0,0,8,"3014705"
5,53,237,7134913,7156556,7079271,5,989,0,0,5,"3014705"
6,41,278,6208358,6254292,7104036,5,989,0,0,5,"3014705"
7,0,278,1,1635516,7051589,5,987,0,0,0,"3014705"
8,37,315,8645623,8681663,7394169,5,987,0,0,2,"3014705"
9,36,351,9918465,9919639,7991044,8,987,2,0,4,"3014705"
10,47,398,8553164,8562988,8092879,3,985,1,0,10,"3014705"
11,46,444,5268765,5308505,8051626,1,983,1,0,6,"3014705"
12,37,481,6088585,6132399,8014544,1,986,0,0,4,"3014705"
13,47,528,7442251,7455655,7984873,12,984,2,0,3,"3014705"
14,33,561,10359917,10360649,8342967,10,983,1,0,1,"3014705"
15,50,611,6611784,6639554,8298359,14,982,1,0,2,"3014705"
16,41,652,6142938,6182700,8276844,5,979,1,0,9,"3014705"
17,40,692,10492514,10498288,8575078,5,979,0,0,0,"3014705"
18,45,737,6685491,6735769,8509098,5,978,0,0,1,"3014705"
19,78,815,187827,192106,8024510,5,977,0,0,13,"3014705"
20,63,878,4541216,4578381,7825926,5,977,0,0,16,"3014705"
21,55,933,8449711,8469332,7841111,5,979,0,0,9,"3014705"
22,32,965,7856492,7859537,7872736,60,978,2,0,10,"3014705"
23,45,1010,9908154,9922572,8028380,60,980,0,0,0,"3014705"
24,32,1042,9505857,9507581,8138768,79,979,2,0,0,"3014705"
25,103,1145,744264,759895,7718601,79,979,0,0,2,"3014705"
26,17,1162,11157404,11157921,8074033,62,976,1,0,0,"3014705"
27,67,1229,4762937,4772479,7867043,69,974,1,0,0,"3014705"
28,45,1274,2881195,2895006,7634840,46,974,1,0,0,"3014705"
29,69,1343,7796863,7799719,7628648,50,972,1,0,5,"3014705"
30,37,1380,10489426,10492813,7813992,66,971,1,0,1,"3014705"
31,29,1409,10979836,10986973,8083249,66,971,0,0,1,"3014705"
32,26,1435,9367323,9368061,8150773,64,971,2,0,0,"3014705"
33,51,1486,7095708,7106956,8148631,62,970,1,0,1,"3014705"
34,105,1591,1532390,1539235,7856891,69,970,1,0,13,"3014705"
35,49,1640,1655167,1693674,7761028,69,971,0,0,2,"3014705"
36,56,1696,7398769,7401907,7750458,54,973,1,0,5,"3014705"
37,61,1757,3378977,3397524,7591879,50,972,2,0,0,"3014705"
38,60,1817,1115517,1123912,7362529,64,973,1,0,0,"3014705"
1,59,59,3699295,3783839,3699292,15,1000,0,0,4,"3014211"
2,50,109,6093468,6113366,4867955,10,999,1,0,17,"3014211"
3,50,159,3960242,3996118,4486092,10,997,0,0,9,"3014211"
4,36,195,9285244,9291179,6433614,10,998,0,0,17,"3014211"
5,54,249,6949703,6972389,6502618,10,994,0,0,3,"3014211"
6,30,279,9503520,9512032,7060750,14,993,1,0,18,"3014211"
7,0,279,1,1635217,7008454,14,991,0,0,0,"3014211"
8,43,322,7098353,7142866,7154734,14,990,0,0,0,"3014211"
9,64,386,6823879,6835127,7015653,9,988,1,0,6,"3014211"
10,48,434,8336540,8346964,7185942,14,990,1,0,3,"3014211"
11,34,468,9466896,9492004,7492539,14,992,0,0,0,"3014211"
12,30,498,8471731,8477054,7633364,2,993,2,0,0,"3014211"
13,50,548,6131494,6181686,7545963,2,994,0,0,0,"3014211"
14,56,604,6334453,6374604,7503954,2,995,0,0,2,"3014211"
15,67,671,1271176,1289533,7095049,2,993,0,0,3,"3014211"
16,56,727,1401372,1422828,6720385,2,991,0,0,15,"3014211"
17,57,784,9079217,9079970,6971699,1,992,1,0,6,"3014211"
18,25,809,10562882,10572327,7359874,1,993,0,0,0,"3014211"
19,43,852,7214365,7263896,7402335,1,993,0,0,7,"3014211"
20,47,899,8604486,8630639,7485875,1,992,0,0,6,"3014211"
21,44,943,9840500,9841212,7694843,4,990,1,0,7,"3014211"
22,44,987,5496553,5518214,7558855,1,985,0,0,8,"3014211"
23,51,1038,9223883,9226047,7656773,2,984,1,0,8,"3014211"
24,44,1082,5747411,5803913,7611475,2,985,0,0,11,"3014211"
25,64,1146,8131324,8136657,7704231,2,985,2,0,6,"3014211"
26,64,1210,1184026,1199936,7456575,2,986,0,0,4,"3014211"
27,73,1283,3526900,3551795,7165369,2,987,0,0,2,"3014211"
28,43,1326,3273620,3286146,6946875,3,990,2,0,0,"3014211"
29,74,1400,6708380,6736434,6902950,3,994,0,0,2,"3014211"
30,47,1447,8345087,8390331,7002582,3,996,0,0,0,"3014211"
31,73,1520,954245,967959,6771240,3,996,1,0,1,"3014211"
32,60,1580,1725899,1753016,6475437,3,999,0,0,15,"3014211"
33,40,1620,9496303,9501761,6665689,0,1000,1,0,4,"3014211"
34,93,1705,3284552,3288541,6580945,2,998,3,8,5,"3014211"
35,56,1761,571423,587222,6378221,2,998,0,0,9,"3014211"
36,135,1896,44518,46080,5430060,1,994,2,0,0,"3014211"
37,55,1951,4862129,4906851,5381989,1,995,0,0,3,"3014211"
38,52,2003,2281171,2309497,5209118,1,996,0,0,8,"3014211"
1,74,74,742189,840857,742189,10,1000,0,0,4,"4445297"
2,72,146,1332211,1383725,390415,10,1002,0,0,11,"4445297"
3,55,201,2565545,2603120,285178,0,1005,2,0,6,"4445297"
4,69,270,3036603,3086247,366865,0,1007,0,0,5,"4445297"
5,85,355,589232,613404,177923,0,1009,0,0,3,"4445297"
6,42,397,5987031,6046089,264054,4,1007,1,0,7,"4445297"
7,0,397,1,2508357,259391,4,1007,0,0,0,"4445297"
8,61,458,1985409,2055774,186330,7,1007,0,0,1,"4445297"
9,92,550,842908,864406,104633,20,1014,1,0,2,"4445297"
10,78,628,489523,510118,57544,20,1020,0,0,2,"4445297"
11,53,681,2559261,2606414,43865,25,1021,1,0,10,"4445297"
12,50,731,2343049,2378076,40990,31,1020,2,0,0,"4445297"
13,46,777,7677953,7712126,95364,15,1021,1,0,16,"4445297"
14,58,835,5747903,5810326,158345,15,1027,0,0,1,"4445297"
15,62,897,2511463,2553495,136495,9,1024,1,0,7,"4445297"
16,41,938,6142938,6197110,191433,17,1024,1,0,3,"4445297"
17,91,1029,1265717,1270581,167374,0,1015,10,0,6,"4445297"
