"season_name","total_points","rank","id"
"2020/21",1961,2997743,"1106737"
"2021/22",1950,3271797,"1106737"
"2007/08",2115,45991,"3015602"
"2008/09",1757,373570,"3015602"
"2009/10",2188,86877,"3015602"
"2010/11",1905,275764,"3015602"
"2011/12",1885,481501,"3015602"
"2012/13",1940,399836,"3015602"
"2013/14",2071,759359,"3015602"
"2014/15",1632,1954385,"3015602"
"2015/16",1712,2171148,"3015602"
"2016/17",1820,1693622,"3015602"
"2017/18",1925,1802965,"3015602"
"2018/19",2016,1688766,"3015602"
"2019/20",1946,2520861,"3015602"
"2020/21",1808,4423728,"3015602"
"2021/22",1706,5746358,"3015602"
"2013/14",1722,1958144,"1177922"
"2014/15",1632,1953710,"1177922"
"2015/16",1449,3068069,"1177922"
"2016/17",1656,2761081,"1177922"
"2017/18",1799,2820079,"1177922"
"2018/19",1700,4728401,"1177922"
"2019/20",1856,3618420,"1177922"
"2020/21",1837,4168576,"1177922"
"2021/22",1903,3737839,"1177922"
"2008/09",1730,444658,"191239"
"2009/10",1781,1049549,"191239"
"2010/11",1822,545322,"191239"
"2011/12",1637,1505328,"191239"
"2012/13",1934,418441,"191239"
"2013/14",1864,1527749,"191239"
"2014/15",1900,586414,"191239"
"2015/16",2049,406671,"191239"
"2016/17",2149,134596,"191239"
"2017/18",1899,2024940,"191239"
"2018/19",1998,1906519,"191239"
"2019/20",1855,3632691,"191239"
"2020/21",1857,3989902,"191239"
"2021/22",2107,1866170,"191239"
"2014/15",1493,2586747,"3014705"
"2015/16",1581,2640688,"3014705"
"2016/17",1860,1423456,"3014705"
"2017/18",1539,4574574,"3014705"
"2018/19",1932,2713380,"3014705"
"2019/20",1621,5880667,"3014705"
"2020/21",1896,3624486,"3014705"
"2021/22",2043,2403624,"3014705"
"2013/14",2082,712840,"3014211"
"2014/15",1607,2074084,"3014211"
"2015/16",2015,565803,"3014211"
"2016/17",1732,2284978,"3014211"
"2017/18",1771,3036350,"3014211"
"2018/19",1602,5154399,"3014211"
"2019/20",1996,1938081,"3014211"
"2020/21",1799,4503539,"3014211"
"2021/22",2046,2373880,"3014211"
"2008/09",1843,183769,"4445297"
"2009/10",2265,32335,"4445297"
"2010/11",1779,710140,"4445297"
"2011/12",1976,214459,"4445297"
"2012/13",2147,32377,"4445297"
"2013/14",2024,946272,"4445297"
"2014/15",2038,130700,"4445297"
"2015/16",2193,48026,"4445297"
"2016/17",2120,190993,"4445297"
"2017/18",2238,61860,"4445297"
"2018/19",2208,242611,"4445297"
"2019/20",2178,396464,"4445297"
"2020/21",2416,64037,"4445297"
"2021/22",2388,341867,"4445297"
"2013/14",1766,1828879,"200257"
"2014/15",1829,954264,"200257"
"2015/16",1792,1826284,"200257"
"2016/17",2193,74441,"200257"
"2017/18",2080,601320,"200257"
"2018/19",1930,2739205,"200257"
"2019/20",1898,3105466,"200257"
"2020/21",2056,2090208,"200257"
"2021/22",1849,4297865,"200257"
"2018/19",1929,2751830,"2359578"
"2019/20",1913,2924848,"2359578"
"2020/21",1907,3520843,"2359578"
"2021/22",1907,3701999,"2359578"
