"element","position","multiplier","is_captain","is_vice_captain","id","gameweek"
15,1,1,FALSE,FALSE,"1106737",1
306,2,1,FALSE,FALSE,"1106737",1
33,3,1,FALSE,FALSE,"1106737",1
146,4,1,FALSE,TRUE,"1106737",1
16,5,1,FALSE,FALSE,"1106737",1
259,6,1,FALSE,FALSE,"1106737",1
29,7,1,FALSE,FALSE,"1106737",1
19,8,1,FALSE,FALSE,"1106737",1
527,9,1,FALSE,FALSE,"1106737",1
301,10,2,TRUE,FALSE,"1106737",1
30,11,1,FALSE,FALSE,"1106737",1
182,12,0,FALSE,FALSE,"1106737",1
345,13,0,FALSE,FALSE,"1106737",1
411,14,0,FALSE,FALSE,"1106737",1
475,15,0,FALSE,FALSE,"1106737",1
15,1,1,FALSE,FALSE,"1106737",2
306,2,1,FALSE,TRUE,"1106737",2
33,3,1,FALSE,FALSE,"1106737",2
146,4,1,FALSE,FALSE,"1106737",2
16,5,1,FALSE,FALSE,"1106737",2
29,6,1,FALSE,FALSE,"1106737",2
19,7,1,FALSE,FALSE,"1106737",2
527,8,1,FALSE,FALSE,"1106737",2
301,9,2,TRUE,FALSE,"1106737",2
30,10,1,FALSE,FALSE,"1106737",2
103,11,1,FALSE,FALSE,"1106737",2
182,12,0,FALSE,FALSE,"1106737",2
411,13,0,FALSE,FALSE,"1106737",2
259,14,0,FALSE,FALSE,"1106737",2
475,15,0,FALSE,FALSE,"1106737",2
15,1,1,FALSE,FALSE,"1106737",3
306,2,1,FALSE,FALSE,"1106737",3
475,3,1,FALSE,FALSE,"1106737",3
146,4,1,FALSE,TRUE,"1106737",3
16,5,1,FALSE,FALSE,"1106737",3
19,6,1,FALSE,FALSE,"1106737",3
527,7,1,FALSE,FALSE,"1106737",3
301,8,2,TRUE,FALSE,"1106737",3
259,9,1,FALSE,FALSE,"1106737",3
30,10,1,FALSE,FALSE,"1106737",3
103,11,1,FALSE,FALSE,"1106737",3
182,12,0,FALSE,FALSE,"1106737",3
29,13,0,FALSE,FALSE,"1106737",3
411,14,0,FALSE,FALSE,"1106737",3
33,15,0,FALSE,FALSE,"1106737",3
15,1,1,FALSE,FALSE,"1106737",4
306,2,1,FALSE,FALSE,"1106737",4
