"element_in","element_in_cost","element_out","element_out_cost","entry","event","time"
534,51,19,62,1106737,38,"2023-05-26T16:43:05.740038Z"
95,56,30,63,1106737,37,"2023-05-19T11:41:49.774024Z"
123,50,411,60,1106737,37,"2023-05-19T11:38:02.489238Z"
300,73,301,121,1106737,36,"2023-05-09T14:32:09.315166Z"
170,44,109,46,1106737,35,"2023-05-06T11:49:20.773529Z"
255,91,262,59,1106737,34,"2023-04-28T11:13:58.665722Z"
374,55,104,54,1106737,34,"2023-04-28T11:13:58.658447Z"
262,59,103,65,1106737,33,"2023-04-25T15:49:16.372131Z"
109,46,146,58,1106737,33,"2023-04-25T15:49:16.364394Z"
103,65,700,51,1106737,32,"2023-04-20T17:37:31.488006Z"
733,48,109,46,1106737,31,"2023-04-13T17:43:38.793795Z"
538,43,689,50,1106737,30,"2023-04-08T08:54:42.096578Z"
80,78,700,53,1106737,28,"2023-03-17T08:14:24.934336Z"
427,118,411,61,1106737,28,"2023-03-17T08:14:24.934090Z"
594,66,30,64,1106737,28,"2023-03-17T08:14:24.933816Z"
699,65,340,71,1106737,28,"2023-03-17T08:14:24.933516Z"
160,72,305,68,1106737,28,"2023-03-17T08:14:24.933080Z"
13,85,301,120,1106737,28,"2023-03-17T08:14:24.932823Z"
407,63,104,54,1106737,28,"2023-03-17T08:14:24.932582Z"
39,43,689,50,1106737,28,"2023-03-17T08:14:24.932277Z"
448,54,526,50,1106737,28,"2023-03-17T08:14:24.931971Z"
139,59,146,58,1106737,28,"2023-03-17T08:14:24.931678Z"
357,61,109,46,1106737,28,"2023-03-17T08:14:24.931364Z"
133,47,182,44,1106737,28,"2023-03-17T08:14:24.930997Z"
426,39,15,49,1106737,28,"2023-03-17T08:14:24.930643Z"
109,46,733,48,1106737,27,"2023-03-10T09:21:32.220331Z"
526,50,475,49,1106737,26,"2023-03-03T11:33:57.074926Z"
475,49,526,48,1106737,25,"2023-02-24T14:29:45.244579Z"
340,71,593,49,1106737,23,"2023-02-09T13:41:22.930537Z"
700,55,617,85,1106737,22,"2023-02-03T16:39:41.768482Z"
733,50,306,70,1106737,22,"2023-02-03T16:39:41.768049Z"
689,50,165,45,1106737,21,"2023-01-20T12:13:38.576217Z"
593,49,440,54,1106737,20,"2023-01-13T15:01:35.787980Z"
526,46,141,46,1106737,20,"2023-01-13T15:01:35.777731Z"
30,66,166,53,1106737,18,"2022-12-29T14:58:38.398377Z"
440,54,186,55,1106737,18,"2022-12-29T14:58:38.391465Z"
165,45,588,45,1106737,17,"2022-12-26T07:37:37.148930Z"
588,45,484,45,1106737,15,"2022-11-03T11:35:15.553737Z"
