Player,Team,Pos,GW1,GW2,GW3,GW4,GW5,GW6,Total,Price,Value
Weiss,Burnley,GK,2.45,0.77,0.54,0.54,0.62,0.54,5.47,4.5m,1.21
G.Rodriguez,West Ham,M,0.98,0.87,0.89,0.9,0.92,0.88,5.45,5m,1.09
Edwards,Burnley,M,1.08,0.97,0.78,0.81,0.97,0.81,5.42,5m,1.08
N.Gonzalez,Man City,M,1.2,0.83,0.78,0.87,0.73,1,5.4,6m,0.9
Delap,Chelsea,F,1.13,0.78,0.87,0.86,0.8,0.94,5.38,6.5m,0.83
Adama,Fulham,M,0.98,0.82,0.71,1,1,0.85,5.37,5.5m,0.98
Roberts,Burnley,D,0,1.59,0.9,0.86,1.38,0.63,5.35,4.5m,1.19
Maguire,Man Utd,D,0.91,0.82,1.13,0.65,0.88,0.96,5.35,4.5m,1.19
Merino,Arsenal,M,0.85,0.98,0.76,0.99,0.89,0.88,5.34,6m,0.89
Onana,Aston Villa,M,0.87,0.81,0.88,0.85,0.95,0.95,5.31,5m,1.06
Wilson,West Ham,F,0.92,0.78,0.83,0.91,0.94,0.85,5.24,6m,0.87
Aaronson,Leeds,M,0.86,0.68,0.83,0.88,0.93,1.03,5.22,5.5m,0.95
Mundle,Sunderland,M,0,1.03,1.17,0.95,1.03,1.01,5.19,5m,1.04
Osula,Newcastle,F,1.29,0.9,0.9,0.73,0.65,0.62,5.09,5.5m,0.93
Nketiah,Crystal Palace,F,0,0.93,0.91,1.19,0.98,0.93,4.94,5.5m,0.9
Lavia,Chelsea,M,1.08,0.75,0.79,0.76,0.72,0.78,4.89,5m,0.98
Mings,Aston Villa,D,0.76,0.7,0.84,0.78,0.9,0.89,4.87,4.5m,1.08
Elliott,Liverpool,M,1.27,0.57,0.6,0.8,0.81,0.77,4.81,5.5m,0.87
Nmecha,Leeds,F,0.85,0.64,0.78,0.78,0.81,0.9,4.76,5m,0.95
R.Gomes,Wolves,D,0.68,0.66,0.87,0.68,1.01,0.76,4.67,4.5m,1.04
Bornauw,Leeds,D,1.05,0.59,0.74,0.74,0.78,0.76,4.66,4m,1.17
Bayindir,Man Utd,GK,1.61,0.64,0.74,0.49,0.54,0.54,4.56,5m,0.91
Castagne,Fulham,D,0.95,0.8,0.57,0.85,0.79,0.57,4.52,4.5m,1.01
Botman,Newcastle,D,0.81,0.64,0.76,0.83,0.68,0.76,4.49,5m,0.9
Jair Cunha,Nott'm Forest,D,0.72,0.66,0.79,0.56,0.8,0.92,4.46,4.5m,0.99
Kiwior,Arsenal,D,0.68,0.82,0.54,0.84,0.65,0.66,4.19,5.5m,0.76
M.Bizot,Aston Villa,GK,3.24,0.17,0.18,0.17,0.19,0.18,4.13,4.5m,0.92
Boscagli,Brighton,D,0.86,0.71,0.58,0.64,0.77,0.57,4.12,4.5m,0.92
Huggins,Sunderland,D,1.07,0.82,0.71,0.48,0.49,0.47,4.03,4m,1.01
Sinisterra,Bournemouth,M,0.87,0.89,0.55,0.56,0.53,0.56,3.96,5m,0.79
Ugarte,Man Utd,M,0.73,0.58,0.69,0.62,0.66,0.68,3.96,5m,0.79
Valdimarsson,Brentford,GK,0.63,0.64,0.7,0.61,0.63,0.64,3.84,4m,0.96
Bissouma,Tottenham,M,0.88,0.51,0.6,0.59,0.58,0.65,3.81,5.5m,0.69
Guessand,Aston Villa,M,0.65,0.6,0.64,0.57,0.68,0.66,3.81,6.5m,0.59
Hinshelwood,Brighton,M,0.58,0.53,0.56,0.64,0.73,0.66,3.69,5.5m,0.67
L.Guilherme,West Ham,M,0.73,0.59,0.6,0.6,0.61,0.54,3.67,5m,0.73
Mepham,Bournemouth,D,0.57,0.84,0.47,0.57,0.57,0.63,3.66,4m,0.91
Danso,Tottenham,D,0.98,0.37,0.56,0.55,0.49,0.65,3.6,4.5m,0.8
Iroegbunam,Everton,M,0.69,0.54,0.55,0.59,0.57,0.64,3.58,5m,0.72
Zirkzee,Man Utd,F,0.29,0.57,0.71,0.58,0.65,0.68,3.49,6m,0.58
Stones,Man City,D,0.75,0.48,0.44,0.56,0.41,0.74,3.39,5.5m,0.62
George,Chelsea,M,0.76,0.49,0.54,0.53,0.49,0.56,3.37,5m,0.67
Nwaneri,Arsenal,M,0.56,0.63,0.47,0.61,0.53,0.52,3.32,5.5m,0.6
Veltman,Brighton,D,0.65,0.55,0.45,0.52,0.64,0.48,3.3,4.5m,0.73
Kulusevski,Tottenham,M,0,0,0,0.54,0.91,1.7,3.15,6.5m,0.48
J.Araujo,Bournemouth,D,0.46,0.73,0.39,0.5,0.49,0.56,3.13,4m,0.78
Bijol,Leeds,D,0,0.49,0.62,0.63,0.68,0.67,3.08,4m,0.77
Diop,Fulham,D,0.65,0.52,0.38,0.58,0.54,0.4,3.06,4.5m,0.68
Bobb,Man City,M,0.63,0.43,0.42,0.51,0.41,0.65,3.04,5.5m,0.55
Koleosho,Burnley,M,0.68,0.54,0.43,0.43,0.51,0.42,3.02,5m,0.6
Jimoh-Aloba,Aston Villa,M,0.49,0.45,0.49,0.45,0.51,0.5,2.9,4.5m,0.64
Davies,Tottenham,D,0.76,0.27,0.44,0.44,0.39,0.54,2.83,4.5m,0.63
Schmidt,Leeds,D,0.67,0.36,0.45,0.43,0.45,0.43,2.79,4m,0.7
Nkunku,Chelsea,M,0.67,0.42,0.45,0.42,0.39,0.44,2.79,6m,0.46
Savinho,Man City,M,0.63,0.41,0.39,0.45,0.35,0.56,2.79,7m,0.4
Walker-Peters,West Ham,D,0.52,0.39,0.43,0.45,0.5,0.45,2.74,4.5m,0.61
Alvarez,West Ham,M,0,0.54,0.55,0.54,0.55,0.52,2.7,5m,0.54
Isidor,Sunderland,F,0.61,0.47,0.44,0.37,0.4,0.41,2.7,5.5m,0.49
Neil,Sunderland,M,0.53,0.43,0.42,0.4,0.44,0.46,2.69,5m,0.54
Devenny,Crystal Palace,M,0.54,0.46,0.4,0.48,0.4,0.38,2.66,4.5m,0.59
Keane,Everton,D,0.49,0.4,0.42,0.45,0.34,0.55,2.65,4.5m,0.59
Patterson,Everton,D,0.58,0.43,0.44,0.42,0.29,0.49,2.65,4.5m,0.59
A.Garcia,Aston Villa,D,0.38,0.36,0.44,0.43,0.5,0.5,2.61,4m,0.65
Gruda,Brighton,M,0.35,0.35,0.39,0.47,0.54,0.5,2.6,5.5m,0.47
Roberts,Sunderland,M,0.58,0.45,0.42,0.35,0.38,0.39,2.57,5.5m,0.47
Morato,Nott'm Forest,D,0.44,0.39,0.46,0.31,0.43,0.48,2.5,4.5m,0.56
Tsimikas,Liverpool,D,0.61,0.25,0.29,0.42,0.46,0.42,2.46,5m,0.49
N.Jackson,Chelsea,F,0,0.45,0.5,0.49,0.46,0.54,2.44,6.5m,0.37
Hickey,Brentford,D,0.54,0.36,0.39,0.33,0.37,0.4,2.38,4m,0.59
Bogarde,Aston Villa,D,0.34,0.33,0.4,0.39,0.45,0.45,2.36,4m,0.59
Hato,Chelsea,D,0.51,0.32,0.38,0.37,0.34,0.43,2.35,5m,0.47
O’Reilly,Man City,D,0.58,0.34,0.31,0.36,0.27,0.45,2.31,5m,0.46
Ramazani,Leeds,M,0.39,0.31,0.37,0.38,0.4,0.44,2.3,5m,0.46
F.Kadioglu,Brighton,D,0.49,0.4,0.32,0.35,0.41,0.31,2.28,4.5m,0.51
Da Silva Moreira,Nott'm Forest,M,0.4,0.37,0.4,0.33,0.38,0.4,2.28,4.5m,0.51
Kalajdzic,Wolves,F,0.4,0.35,0.37,0.35,0.42,0.37,2.26,5m,0.45
Hermansen,West Ham,GK,0.28,0.28,0.34,0.41,0.47,0.47,2.24,4.5m,0.5
Mazraoui,Man Utd,D,0.25,0.27,0.41,0.31,0.46,0.53,2.24,5m,0.45
Endo,Liverpool,M,0.65,0.27,0.29,0.34,0.35,0.33,2.23,5m,0.45
M.Franca,Crystal Palace,M,0.41,0.36,0.32,0.4,0.34,0.33,2.17,4.5m,0.48
Cairney,Fulham,M,0.42,0.33,0.3,0.38,0.38,0.34,2.16,5m,0.43
Scarles,West Ham,D,0.42,0.31,0.33,0.33,0.37,0.33,2.09,4.5m,0.46
March,Brighton,M,0.35,0.31,0.32,0.35,0.39,0.35,2.08,6m,0.35
Tchaouna,Burnley,M,0.47,0.36,0.29,0.29,0.33,0.28,2.02,5m,0.4
Edouard,Crystal Palace,F,0.39,0.33,0.3,0.36,0.32,0.31,2,5m,0.4
Lewis,Man City,D,0.47,0.29,0.26,0.32,0.23,0.42,2,5m,0.4
S.Bueno,Wolves,D,0.29,0.27,0.39,0.28,0.42,0.31,1.96,4.5m,0.44
Masuaku,Sunderland,D,0.43,0.35,0.32,0.26,0.29,0.3,1.96,4m,0.49
Summerville,West Ham,M,0,0,0,0.42,0.65,0.85,1.92,5.5m,0.35
Zinchenko,Arsenal,D,0.28,0.35,0.25,0.39,0.32,0.33,1.92,5m,0.38
Dominguez,Nott'm Forest,M,0,0,0,0.35,0.6,0.96,1.91,5m,0.38
Boly,Nott'm Forest,D,0.31,0.29,0.34,0.25,0.33,0.37,1.88,4m,0.47
Mainoo,Man Utd,M,0.37,0.29,0.34,0.28,0.29,0.3,1.87,5m,0.37
Trafford,Man City,GK,0.3,0.3,0.28,0.31,0.27,0.37,1.83,5m,0.37
Gruev,Leeds,M,0.3,0.25,0.28,0.3,0.31,0.33,1.76,5m,0.35
Barkley,Aston Villa,M,0.17,0.21,0.25,0.3,0.37,0.4,1.7,5m,0.34
Awoniyi,Nott'm Forest,F,0.27,0.27,0.29,0.26,0.29,0.31,1.69,5.5m,0.31
O.Richards,Nott'm Forest,D,0.3,0.26,0.3,0.21,0.29,0.32,1.68,4.5m,0.37
Mavropanos,West Ham,D,0.3,0.23,0.26,0.28,0.31,0.29,1.67,4.5m,0.37
Chiesa,Liverpool,M,0.45,0.2,0.21,0.26,0.27,0.26,1.65,6.5m,0.25
Kovacic,Man City,M,0,0,0.11,0.35,0.42,0.74,1.62,6m,0.27
Stamenic,Nott'm Forest,M,0.28,0.26,0.28,0.25,0.26,0.27,1.6,4.5m,0.35
Lamptey,Brighton,D,0.29,0.26,0.23,0.26,0.3,0.24,1.57,4.5m,0.35
Cirkin,Sunderland,D,0,0.12,0.23,0.38,0.42,0.42,1.57,4m,0.39
Irving,West Ham,M,0.32,0.26,0.26,0.24,0.24,0.22,1.53,4.5m,0.34
Kostoulas,Brighton,F,0.21,0.21,0.23,0.27,0.3,0.29,1.52,5m,0.3
Y.Chermiti,Everton,F,0.28,0.24,0.24,0.25,0.23,0.27,1.52,5m,0.3
Willock,Newcastle,M,0,0.15,0.22,0.39,0.37,0.38,1.51,5m,0.3
Orford,West Ham,M,0.32,0.26,0.25,0.23,0.23,0.21,1.51,4.5m,0.33
Obi,Man Utd,F,0.28,0.23,0.27,0.22,0.23,0.24,1.47,4.5m,0.33
Bamford,Leeds,F,0.26,0.22,0.24,0.24,0.24,0.25,1.45,5m,0.29
Byram,Leeds,D,0.32,0.19,0.23,0.23,0.24,0.24,1.44,4m,0.36
Sima,Brighton,M,0.25,0.23,0.23,0.24,0.26,0.23,1.44,5.5m,0.26
Abdullahi,Sunderland,F,0.35,0.26,0.23,0.19,0.2,0.2,1.43,4.5m,0.32
Pinnock,Brentford,D,0.26,0.19,0.21,0.21,0.25,0.28,1.39,4.5m,0.31
Rigg,Sunderland,M,0.3,0.23,0.22,0.2,0.21,0.22,1.39,5m,0.28
Tzimas,Brighton,F,0.16,0.18,0.2,0.25,0.28,0.27,1.34,5.5m,0.24
Pedro Lima,Wolves,D,0.19,0.18,0.25,0.19,0.28,0.21,1.3,4m,0.33
Benson,Burnley,M,0.28,0.22,0.19,0.19,0.23,0.2,1.3,5.5m,0.24
Boateng,Burnley,M,0.27,0.21,0.18,0.19,0.22,0.19,1.28,5m,0.26
Tuanzebe,Burnley,D,0.22,0.25,0.16,0.18,0.29,0.15,1.25,4m,0.31
Reed,Fulham,M,0.22,0.18,0.17,0.22,0.23,0.22,1.24,4.5m,0.28
Aleksic,Sunderland,M,0.3,0.22,0.2,0.16,0.17,0.17,1.21,5m,0.24
Sarmiento,Brighton,M,0.2,0.19,0.19,0.21,0.22,0.21,1.21,5m,0.24
Collyer,Man Utd,M,0.22,0.18,0.21,0.19,0.2,0.21,1.2,4.5m,0.27
Clyne,Crystal Palace,D,0.18,0.2,0.16,0.25,0.21,0.19,1.19,4m,0.3
Kroupi.Jr,Bournemouth,F,0.25,0.23,0.16,0.17,0.18,0.19,1.19,4.5m,0.26
Gomez,Liverpool,D,0.28,0.12,0.14,0.19,0.21,0.19,1.13,5m,0.23
Browne,Sunderland,M,0.27,0.2,0.18,0.15,0.16,0.16,1.13,4.5m,0.25
Acheampong,Chelsea,D,0.2,0.14,0.18,0.19,0.18,0.22,1.11,4m,0.28
Agbinone,Crystal Palace,M,0.21,0.17,0.17,0.19,0.18,0.17,1.09,4.5m,0.24
Winterburn,Bournemouth,M,0.26,0.23,0.15,0.15,0.14,0.15,1.08,4.5m,0.24
Bevan,Bournemouth,D,0,0.15,0.13,0.22,0.25,0.31,1.07,4m,0.27
Redmond,Aston Villa,F,0.17,0.17,0.18,0.17,0.19,0.19,1.06,4.5m,0.24
Gauci,Aston Villa,GK,0.17,0.17,0.18,0.17,0.19,0.18,1.06,4m,0.27
Soler,Bournemouth,D,0.19,0.24,0.13,0.15,0.14,0.15,1,4m,0.25
Maghoma,Brentford,M,0.25,0.16,0.14,0.14,0.15,0.15,0.99,4.5m,0.22
Khusanov,Man City,D,0.24,0.14,0.13,0.16,0.12,0.2,0.99,5.5m,0.18
Ajer,Brentford,D,0.22,0.14,0.15,0.14,0.16,0.17,0.98,4.5m,0.22
Darlow,Leeds,GK,0.1,0.11,0.14,0.19,0.21,0.23,0.98,4m,0.25
Onyeka,Brentford,M,0.23,0.15,0.14,0.15,0.15,0.16,0.98,5m,0.2
Dixon,Everton,D,0.18,0.15,0.16,0.16,0.13,0.18,0.96,4m,0.24
Triantis,Sunderland,M,0.23,0.17,0.15,0.13,0.13,0.14,0.96,4.5m,0.21
Scarlett,Tottenham,F,0.21,0.14,0.16,0.15,0.14,0.15,0.95,4.5m,0.21
Igor,Brighton,D,0.21,0.17,0.13,0.14,0.17,0.13,0.95,4.5m,0.21
Edozie,Wolves,M,0.18,0.15,0.16,0.14,0.16,0.14,0.94,4.5m,0.21
Obafemi,Burnley,F,0.19,0.15,0.14,0.14,0.16,0.14,0.92,4.5m,0.2
Milner,Brighton,M,0.14,0.14,0.14,0.15,0.16,0.15,0.89,5m,0.18
Gray,Tottenham,M,0.2,0.12,0.14,0.14,0.14,0.15,0.88,5m,0.18
Iling Jr,Aston Villa,M,0.12,0.13,0.14,0.15,0.16,0.17,0.88,5.5m,0.16
Godo,Fulham,M,0.13,0.13,0.13,0.16,0.16,0.16,0.87,4.5m,0.19
Nunes,Brentford,M,0.2,0.13,0.13,0.13,0.13,0.13,0.84,5m,0.17
Hladky,Burnley,GK,0.14,0.23,0.12,0.11,0.12,0.1,0.83,4m,0.21
Hjelde,Sunderland,D,0,0.08,0.13,0.19,0.21,0.21,0.83,4m,0.21
Alese,Sunderland,D,0,0.08,0.13,0.19,0.21,0.21,0.83,4m,0.21
Tresor,Burnley,M,0.15,0.13,0.12,0.13,0.15,0.14,0.83,4.5m,0.18
Nallo,Liverpool,D,0.2,0.09,0.1,0.14,0.15,0.14,0.82,4m,0.21
Marshall,West Ham,F,0,0.16,0.17,0.16,0.16,0.16,0.82,4.5m,0.18
Enes Unal,Bournemouth,F,0,0,0,0.17,0.25,0.39,0.81,5.5m,0.15
Danns,Liverpool,F,0.2,0.12,0.12,0.12,0.12,0.12,0.8,4.5m,0.18
Chiwome,Wolves,F,0.15,0.12,0.13,0.13,0.14,0.13,0.8,4.5m,0.18
Doucoure,Crystal Palace,M,0,0.12,0.12,0.17,0.18,0.19,0.78,5m,0.16
Barnes,Burnley,F,0.16,0.13,0.12,0.12,0.13,0.12,0.78,4.5m,0.17
Worrall,Burnley,D,0.16,0.15,0.1,0.11,0.15,0.09,0.76,4m,0.19
Silcott-Duberry,Bournemouth,M,0.17,0.14,0.11,0.11,0.11,0.12,0.76,4.5m,0.17
Andrey Santos,Chelsea,M,0.14,0.11,0.12,0.12,0.12,0.14,0.76,4.5m,0.17
D.Essugo,Chelsea,M,0.14,0.11,0.12,0.12,0.12,0.14,0.76,4.5m,0.17
A.Ramsey,Burnley,M,0.14,0.11,0.11,0.12,0.14,0.13,0.76,4.5m,0.17
Amissah,Fulham,D,0.13,0.12,0.1,0.14,0.14,0.12,0.75,4m,0.19
Krafth,Newcastle,D,0.17,0.12,0.13,0.12,0.1,0.11,0.74,4.5m,0.17
Ramsdale,Newcastle,GK,0.06,0.09,0.11,0.17,0.15,0.16,0.74,5m,0.15
Dragusin,Tottenham,D,0,0.06,0.11,0.16,0.16,0.25,0.74,4.5m,0.16
Kporha,Crystal Palace,D,0.13,0.12,0.11,0.13,0.12,0.11,0.72,4m,0.18
Greenwood,Leeds,M,0,0.13,0.14,0.14,0.15,0.16,0.72,5m,0.14
Emerson,West Ham,D,0,0.12,0.14,0.14,0.16,0.16,0.72,4.5m,0.16
Konak,Brentford,M,0.17,0.11,0.1,0.1,0.1,0.11,0.7,4.5m,0.15
Targett,Newcastle,D,0.15,0.11,0.12,0.11,0.09,0.1,0.69,4m,0.17
L.Miley,Newcastle,M,0.12,0.11,0.11,0.11,0.11,0.12,0.68,4.5m,0.15
Armstrong,Everton,M,0.09,0.1,0.11,0.12,0.12,0.14,0.67,4.5m,0.15
Coleman,Everton,D,0.09,0.1,0.1,0.11,0.1,0.13,0.64,4.5m,0.14
Akinmboni,Bournemouth,D,0.11,0.13,0.08,0.09,0.1,0.11,0.62,4m,0.15
Lascelles,Newcastle,D,0.12,0.1,0.1,0.1,0.09,0.09,0.61,4.5m,0.13
Mamardashvili,Liverpool,GK,0.08,0.08,0.09,0.12,0.13,0.12,0.6,4.5m,0.13
Churlinov,Burnley,M,0.12,0.09,0.09,0.09,0.1,0.09,0.58,5m,0.12
Humphreys,Burnley,D,0.11,0.1,0.08,0.08,0.12,0.08,0.57,4m,0.14
Arrizabalaga,Arsenal,GK,0.07,0.1,0.08,0.12,0.1,0.11,0.57,4.5m,0.13
Banel,Burnley,M,0.12,0.09,0.09,0.09,0.09,0.09,0.57,4.5m,0.13
Hojlund,Man Utd,F,0,0.1,0.1,0.11,0.12,0.13,0.56,6.5m,0.09
Heath,Everton,M,0,0.1,0.1,0.11,0.11,0.12,0.55,4.5m,0.12
Echeverri,Man City,M,0.12,0.09,0.08,0.09,0.08,0.09,0.55,5.5m,0.1
Jorgensen,Chelsea,GK,0.07,0.08,0.09,0.1,0.09,0.11,0.54,4.5m,0.12
C.Miguel,Nott'm Forest,GK,0.07,0.07,0.09,0.08,0.1,0.12,0.54,4m,0.13
Travers,Everton,GK,0.07,0.08,0.09,0.1,0.09,0.12,0.53,4.5m,0.12
D.Leon,Man Utd,D,0.09,0.09,0.1,0.08,0.09,0.09,0.53,4.5m,0.12
Adewumi,Burnley,M,0.11,0.09,0.08,0.08,0.09,0.08,0.52,4.5m,0.12
Sadi,Bournemouth,M,0.12,0.1,0.08,0.08,0.08,0.08,0.52,4.5m,0.12
Fabio Silva,Wolves,F,0,0.1,0.1,0.1,0.11,0.11,0.52,5m,0.1
Steele,Brighton,GK,0.07,0.08,0.08,0.09,0.1,0.09,0.52,4.5m,0.12
Lecomte,Fulham,GK,0.06,0.08,0.07,0.1,0.11,0.09,0.51,4m,0.13
Fraser,Wolves,F,0,0.09,0.1,0.1,0.11,0.11,0.51,4.5m,0.11
Ebere,Everton,M,0,0.1,0.1,0.1,0.1,0.11,0.51,4.5m,0.11
Jordan,Burnley,D,0.09,0.09,0.07,0.08,0.11,0.07,0.51,4m,0.13
Johnstone,Wolves,GK,0.06,0.07,0.09,0.08,0.11,0.09,0.51,4.5m,0.11
Kone,Man Utd,M,0.09,0.08,0.09,0.08,0.08,0.09,0.5,4.5m,0.11
Dennis,Bournemouth,GK,0.06,0.08,0.07,0.09,0.09,0.1,0.5,4m,0.13
Kinsky,Tottenham,GK,0.08,0.06,0.08,0.09,0.08,0.11,0.5,4m,0.12
Kuol,Newcastle,M,0,0.11,0.1,0.09,0.1,0.1,0.5,4.5m,0.11
Chirewa,Wolves,M,0,0.09,0.09,0.1,0.1,0.1,0.48,4.5m,0.11
Pond,Wolves,D,0.09,0.07,0.09,0.07,0.09,0.08,0.48,4m,0.12
Foderingham,West Ham,GK,0.07,0.07,0.07,0.08,0.09,0.09,0.48,4m,0.12
Fredricson,Man Utd,D,0.08,0.07,0.09,0.07,0.08,0.08,0.46,4m,0.12
J.Fletcher,Man Utd,M,0,0.09,0.09,0.09,0.09,0.1,0.45,4.5m,0.1
Benitez,Crystal Palace,GK,0.06,0.08,0.06,0.09,0.08,0.07,0.43,4m,0.11
Gonzalez,Wolves,M,0,0.08,0.09,0.09,0.09,0.09,0.43,4.5m,0.1
Amdouni,Burnley,F,0,0.08,0.08,0.08,0.09,0.09,0.42,5m,0.08
Flemming,Burnley,F,0,0.07,0.07,0.08,0.09,0.09,0.41,5.5m,0.07
Ji-soo,Brentford,D,0.09,0.06,0.06,0.06,0.06,0.06,0.4,4m,0.1
Bates,Everton,M,0,0.07,0.07,0.08,0.08,0.08,0.38,4.5m,0.08
Moorhouse,Man Utd,M,0,0.07,0.07,0.07,0.07,0.07,0.35,4.5m,0.08
Fitzgerald,Man Utd,M,0,0.07,0.07,0.07,0.07,0.07,0.35,4.5m,0.08
Meslier,Leeds,GK,0.04,0.04,0.05,0.06,0.07,0.08,0.34,4.5m,0.08
Patterson,Sunderland,GK,0.03,0.04,0.05,0.06,0.07,0.07,0.33,4.5m,0.07
Phillips,Man City,M,0.07,0.05,0.05,0.05,0.05,0.05,0.31,5m,0.06
Sousa,Aston Villa,D,0,0.05,0.06,0.06,0.06,0.06,0.3,4m,0.08
McConnell,Liverpool,M,0,0.06,0.06,0.06,0.06,0.06,0.3,4.5m,0.07
Yasin,Aston Villa,D,0,0.05,0.05,0.05,0.06,0.06,0.27,4m,0.07
Meghoma,Brentford,D,0,0.05,0.05,0.05,0.05,0.05,0.27,4m,0.07
Moore,Sunderland,GK,0.03,0.04,0.04,0.04,0.05,0.05,0.25,4m,0.06
Lucas Pires,Burnley,D,0,0.05,0.05,0.05,0.06,0.05,0.25,4m,0.06
Delcroix,Burnley,D,0,0.04,0.04,0.05,0.05,0.05,0.24,4m,0.06
Cairns,Leeds,GK,0.03,0.03,0.03,0.03,0.03,0.03,0.19,4m,0.05
Bentley,Wolves,GK,0,0.01,0.02,0.02,0.03,0.03,0.12,4m,0.03
Matthews,Crystal Palace,GK,0,0.01,0.01,0.02,0.02,0.02,0.08,4m,0.02
King,Wolves,GK,0,0,0.01,0.02,0.02,0.02,0.08,4m,0.02
Nna Noukeu,Sunderland,GK,0,0.01,0.01,0.02,0.02,0.02,0.07,4m,0.02
Austin,Tottenham,GK,0,0,0.01,0.01,0.01,0.01,0.04,4m,0.01
Hegyi,West Ham,GK,0,0,0.01,0.01,0.01,0.01,0.04,4m,0.01
Heaton,Man Utd,GK,0,0,0,0,0,0,0,4m,0
Mateo Joseph,Leeds,F,0,0,0,0,0,0,0,5m,0
Maddison,Tottenham,M,0,0,0,0,0,0,0,7m,0
Darwin,Liverpool,F,0,0,0,0,0,0,0,6.5m,0
Marsh,Crystal Palace,F,0,0,0,0,0,0,0,4.5m,0
Sherif,Everton,F,0,0,0,0,0,0,0,4.5m,0
Earthy,West Ham,M,0,0,0,0,0,0,0,4.5m,0
Luis Hemir,Sunderland,F,0,0,0,0,0,0,0,4.5m,0
Cornet,West Ham,M,0,0,0,0,0,0,0,5m,0
Wheatley,Man Utd,F,0,0,0,0,0,0,0,4.5m,0
Neave,Newcastle,F,0,0,0,0,0,0,0,4.5m,0
Rusyn,Sunderland,F,0,0,0,0,0,0,0,4.5m,0
Olusesi,Tottenham,M,0,0,0,0,0,0,0,4.5m,0
Bryan,Tottenham,M,0,0,0,0,0,0,0,5m,0
Ferguson,Brighton,F,0,0,0,0,0,0,0,5.5m,0
Solomon,Tottenham,M,0,0,0,0,0,0,0,5.5m,0
Trevitt,Brentford,M,0,0,0,0,0,0,0,4.5m,0
Morgan,Brentford,F,0,0,0,0,0,0,0,4.5m,0
Hayden,Newcastle,M,0,0,0,0,0,0,0,4.5m,0
H.Jones,Sunderland,M,0,0,0,0,0,0,0,4.5m,0
Hodge,Wolves,M,0,0,0,0,0,0,0,4.5m,0
B.Traore,Wolves,M,0,0,0,0,0,0,0,5m,0
Guedes,Wolves,M,0,0,0,0,0,0,0,5.5m,0
Min-hyeok,Tottenham,M,0,0,0,0,0,0,0,4.5m,0
G.Jesus,Arsenal,F,0,0,0,0,0,0,0,6.5m,0
Moore,Tottenham,M,0,0,0,0,0,0,0,5m,0
Son,Tottenham,M,0,0,0,0,0,0,0,8.5m,0
O'Brien,Nott'm Forest,M,0,0,0,0,0,0,0,5m,0
White,Newcastle,M,0,0,0,0,0,0,0,4.5m,0
Rashford,Man Utd,M,0,0,0,0,0,0,0,7m,0
Barrenechea,Aston Villa,M,0,0,0,0,0,0,0,5m,0
Morton,Liverpool,M,0,0,0,0,0,0,0,4.5m,0
Luis Diaz,Liverpool,M,0,0,0,0,0,0,0,8m,0
Gelhardt,Leeds,M,0,0,0,0,0,0,0,4.5m,0
Crew,Leeds,M,0,0,0,0,0,0,0,4.5m,0
Harris,Fulham,M,0,0,0,0,0,0,0,4.5m,0
Metcalfe,Everton,M,0,0,0,0,0,0,0,4.5m,0
Ozoh,Crystal Palace,M,0,0,0,0,0,0,0,4.5m,0
Adu-Adjei,Bournemouth,F,0,0,0,0,0,0,0,4.5m,0
Ebiowei,Crystal Palace,M,0,0,0,0,0,0,0,4.5m,0
Paez,Chelsea,M,0,0,0,0,0,0,0,4.5m,0
Matete,Sunderland,M,0,0,0,0,0,0,0,4.5m,0
Benda,Fulham,GK,0,0,0,0,0,0,0,4m,0
Ekwah,Sunderland,M,0,0,0,0,0,0,0,4.5m,0
Johnson,Sunderland,D,0,0,0,0,0,0,0,4m,0
Ramsay,Liverpool,D,0,0,0,0,0,0,0,4m,0
Martinez,Man Utd,D,0,0,0,0,0,0,0,5m,0
Amass,Man Utd,D,0,0,0,0,0,0,0,4m,0
Malacia,Man Utd,D,0,0,0,0,0,0,0,4m,0
A.Murphy,Newcastle,D,0,0,0,0,0,0,0,4m,0
Ashby,Newcastle,D,0,0,0,0,0,0,0,4m,0
Pivas,Newcastle,D,0,0,0,0,0,0,0,4m,0
David Carmo,Nott'm Forest,D,0,0,0,0,0,0,0,4.5m,0
Abbott,Nott'm Forest,D,0,0,0,0,0,0,0,4m,0
Anderson,Sunderland,D,0,0,0,0,0,0,0,4m,0
Pembele,Sunderland,D,0,0,0,0,0,0,0,4m,0
Welch,Everton,D,0,0,0,0,0,0,0,4m,0
Takai,Tottenham,D,0,0,0,0,0,0,0,4m,0
Vuskovic,Tottenham,D,0,0,0,0,0,0,0,4m,0
Dodgson,Burnley,D,0,0,0,0,0,0,0,4m,0
Estupinan,Brighton,D,0,0,0,0,0,0,0,4.5m,0
Cashin,Brighton,D,0,0,0,0,0,0,0,4m,0
M.Sarr,Chelsea,D,0,0,0,0,0,0,0,4.5m,0
Holding,Crystal Palace,D,0,0,0,0,0,0,0,4m,0
Vitor Reis,Man City,D,0,0,0,0,0,0,0,5m,0
Phillips,Tottenham,D,0,0,0,0,0,0,0,4m,0
Casey,West Ham,D,0,0,0,0,0,0,0,4m,0
Meupiyou,Wolves,D,0,0,0,0,0,0,0,4m,0
R.Williams,Liverpool,D,0,0,0,0,0,0,0,4m,0
Chadi Riad,Crystal Palace,D,0,0,0,0,0,0,0,4m,0
