Player,Team,Pos,GW1,GW2,GW3,GW4,GW5,GW6,Total,Price,Value
Gana,Everton,M,3.35,3.31,3.26,3.28,3.1,3.4,19.7,5.5m,3.58
Anthony,Burnley,M,3.11,4.05,3,2.96,3.54,2.85,19.51,5.5m,3.55
Romero,Tottenham,D,4.48,2.01,3.35,3.08,2.67,3.88,19.47,5m,3.89
Dewsbury-Hall,Everton,M,3.41,3.32,3.18,3.26,2.8,3.47,19.44,5m,3.89
Doku,Man City,M,3.63,3.42,3,3.21,2.36,3.78,19.41,6.5m,2.99
Konsa,Aston Villa,D,2.91,2.87,3.47,3.08,3.55,3.45,19.33,4.5m,4.3
Verbruggen,Brighton,GK,3.67,3.39,2.98,3.05,3.35,2.87,19.31,4.5m,4.29
Tonali,Newcastle,M,3.24,3.12,3.35,3.49,3.09,3.02,19.31,5.5m,3.51
Casemiro,Man Utd,M,3.39,3.18,3.61,2.95,3.08,3.08,19.28,5.5m,3.51
Cucurella,Chelsea,D,3.71,3.07,3.59,3.02,2.54,3.26,19.2,6m,3.2
Pope,Newcastle,GK,3.05,2.98,3.36,3.73,3.01,3.06,19.2,5m,3.84
Petrovic,Bournemouth,GK,2.79,3.69,2.98,3.27,3.15,3.24,19.11,4.5m,4.25
Grealish,Everton,M,2.17,3.57,3.33,3.5,2.63,3.88,19.09,6.5m,2.94
Xhaka,Sunderland,M,3.44,3.31,3.33,2.9,3.08,2.93,18.99,5m,3.8
Jose Sa,Wolves,GK,2.96,3.02,3.65,2.88,3.55,2.92,18.99,4.5m,4.22
Amad,Man Utd,M,2.35,3.13,4.17,2.75,3.25,3.34,18.98,6.5m,2.92
Thiago,Brentford,F,3.29,3.26,3.46,2.99,2.88,3.07,18.95,6m,3.16
Andre,Wolves,M,3.21,3.12,3.23,3.09,3.22,3.08,18.94,5.5m,3.44
Schär,Newcastle,D,2.85,2.7,3.45,4.05,2.84,2.91,18.81,5.5m,3.42
Hannibal,Burnley,M,3.09,3.48,2.99,3.01,3.24,2.98,18.8,5m,3.76
Fullkrug,West Ham,F,3.59,3.06,2.99,3.17,3.21,2.77,18.79,6m,3.13
N.Williams,Nott'm Forest,D,3.29,2.77,3.36,2.13,3.31,3.9,18.77,5m,3.75
Cherki,Man City,M,3.52,3.31,2.89,3.11,2.28,3.65,18.76,6.5m,2.89
Konate,Liverpool,D,3.48,2.53,2.79,3.45,3.55,2.94,18.75,5.5m,3.41
O'Riley,Brighton,M,3.72,3.08,2.95,2.98,3.22,2.64,18.59,5.5m,3.38
Andersen,Fulham,D,2.86,3.24,2.45,3.75,3.55,2.64,18.49,4.5m,4.11
Aina,Nott'm Forest,D,3.29,2.68,3.35,1.91,3.3,3.96,18.48,5m,3.7
Kerkez,Liverpool,D,3.37,2.44,2.67,3.46,3.55,2.97,18.45,6m,3.08
Kilman,West Ham,D,3.43,2.64,2.88,2.94,3.32,3.04,18.27,4.5m,4.06
Matheus N.,Man City,D,3.7,3.15,2.67,2.98,2.16,3.57,18.22,5.5m,3.31
Cullen,Burnley,M,2.96,3.45,2.87,2.88,3.16,2.85,18.17,5m,3.63
Martinelli,Arsenal,M,3.01,3.73,2.48,3.37,2.81,2.7,18.11,7m,2.59
Guehi,Crystal Palace,D,2.26,3.63,2.51,4.26,2.99,2.43,18.08,4.5m,4.02
Roefs,Sunderland,GK,3.19,3.14,3.12,2.85,2.9,2.85,18.03,4.5m,4.01
Ruben,Man City,D,3.34,3.06,2.56,3.04,2.11,3.88,17.98,5.5m,3.27
Agbadou,Wolves,D,2.61,2.74,3.71,2.57,3.65,2.68,17.95,4.5m,3.99
Marmoush,Man City,M,3.34,2.93,2.66,3.01,2.21,3.74,17.87,8.5m,2.1
J.Murphy,Newcastle,M,3.36,2.95,3.3,3.17,2.67,2.4,17.84,6.5m,2.75
McGinn,Aston Villa,M,2.95,2.84,3.08,2.73,3.16,3.07,17.82,5.5m,3.24
Burn,Newcastle,D,2.64,2.57,3.25,3.84,2.66,2.82,17.78,5m,3.56
Richards,Crystal Palace,D,2.37,3.48,2.55,3.97,2.94,2.48,17.78,4.5m,3.95
Perri,Leeds,GK,3.41,2.68,2.93,2.86,2.95,2.9,17.73,4.5m,3.94
Wharton,Crystal Palace,M,3.05,3.11,2.88,3.16,2.78,2.71,17.69,5m,3.54
Zubimendi,Arsenal,M,2.9,3.24,2.69,3.14,2.83,2.78,17.59,5.5m,3.2
Bernardo,Man City,M,3.33,3.09,2.7,2.91,2.16,3.39,17.58,6.5m,2.7
J.Palhinha,Tottenham,M,2.06,2.88,3.21,3.07,3.01,3.34,17.57,5.5m,3.19
J.Arias,Wolves,M,2.74,2.8,3.1,2.66,3.4,2.74,17.44,5.5m,3.17
Toti,Wolves,D,2.44,2.61,3.73,2.4,3.68,2.54,17.41,4.5m,3.87
Richarlison,Tottenham,F,4.34,2.45,3.14,2.55,2.32,2.6,17.4,6.5m,2.68
Ayari,Brighton,M,3.27,2.86,2.81,2.8,2.94,2.64,17.32,5m,3.46
Areola,West Ham,GK,3.22,2.76,2.82,2.79,2.95,2.76,17.29,4.5m,3.84
Fer Lopez,Wolves,M,2.72,2.79,3.1,2.59,3.4,2.67,17.26,5.5m,3.14
Van de Ven,Tottenham,D,4.08,1.63,2.98,2.73,2.3,3.52,17.23,4.5m,3.83
Jensen,Brentford,M,3.08,2.95,3.05,2.69,2.61,2.69,17.09,5m,3.42
O'Brien,Everton,D,3.03,2.97,3.02,2.86,1.79,3.37,17.04,5m,3.41
Wissa,Brentford,F,2.05,2.58,3.32,2.96,2.91,3.17,16.99,7.5m,2.27
Mitchell,Crystal Palace,D,2.11,3.42,2.35,4.02,2.82,2.25,16.98,5m,3.4
N.Aguerd,West Ham,D,3.24,2.43,2.65,2.74,3.1,2.77,16.94,4.5m,3.76
Yarmoliuk,Brentford,M,2.93,2.83,2.88,2.78,2.73,2.78,16.93,5m,3.39
Kamara,Aston Villa,M,2.86,2.76,2.87,2.71,2.82,2.8,16.83,5m,3.37
Diouf,West Ham,D,3.26,2.37,2.61,2.72,3.11,2.74,16.82,4.5m,3.74
Cash,Aston Villa,D,2.56,2.47,3.01,2.62,3.09,3.01,16.76,4.5m,3.72
Adams,Bournemouth,M,3.01,3.1,2.73,2.67,2.59,2.59,16.69,5m,3.34
Garner,Everton,M,2.82,2.79,2.73,2.76,2.59,2.88,16.58,5m,3.32
Struijk,Leeds,D,3.47,2.01,2.7,2.67,2.88,2.85,16.58,4.5m,3.68
Martinez,Aston Villa,GK,0,3.04,3.41,3.18,3.47,3.43,16.53,5m,3.31
Tete,Fulham,D,2.53,2.86,2.12,3.41,3.22,2.34,16.49,4.5m,3.66
Sessegnon,Fulham,M,1.41,2.97,2.48,3.52,3.38,2.68,16.44,5.5m,2.99
Talbi,Sunderland,M,3.18,2.96,2.9,2.42,2.55,2.41,16.41,5m,3.28
Tosin,Chelsea,D,3.59,2.87,3.08,2.43,2.05,2.38,16.4,4.5m,3.64
Kelleher,Brentford,GK,2.66,2.68,2.93,2.55,2.62,2.69,16.13,4.5m,3.58
Reijnders,Man City,M,2.94,2.76,2.5,2.67,2.19,3.02,16.08,5.5m,2.92
Sadiki,Sunderland,M,3.15,2.91,2.81,2.42,2.45,2.33,16.07,5m,3.21
Todibo,West Ham,D,3.03,2.31,2.54,2.57,2.92,2.68,16.06,4.5m,3.57
Van den Berg,Brentford,D,2.69,2.62,3.07,2.39,2.58,2.67,16.02,4.5m,3.56
Foden,Man City,M,2.09,2.8,2.54,2.87,2.11,3.57,15.98,8m,2
Livramento,Newcastle,D,2.42,2.27,2.94,3.44,2.4,2.48,15.96,5m,3.19
